Program,Activity,ProjectLead,ProjectTitle,City,State,Latitude,Longitude,DOE Project Web Page,Concise_Description,Funding Type,Status
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",University of Maryland,Thermoelastic Active Regenerators with Giant DeltaT,College Park,MD,38.989697,-76.93776,https://www.energy.gov/eere/buildings/downloads/thermoelastic-active-regenerators-giant-deltat,"Thermoelastic (also called elastocaloric) cooling is one of the most promising alternative cooling technologies. It employs latent heat of martensitic transformation in metal to pump heat. Owing to the high latent heat to the input work ratio, the coefficient of performance (COP) of a thermoelastic material can be as high as 80% of the Carnot limit. This high materials COP is only rivaled by magnetocaloric materials. The University of Maryland, in partnership with Maryland Energy & Sensor Technologies, LLC (MEST), will demonstrate for the first time thermoelastic active regenerators with hitherto unattainable system deltaT using active regeneration schemes implemented to increase temperature gradient across thermoelastic refrigerants. The project team propose to demonstrate deltaT approaching 100 K. Such a large deltaT can only be rivaled by the highest-performing vapor-compression devices, and if it can be realized, it has the potential to singlehandedly transform the HVAC industry and can lead to an entirely new generation of green cooling (as well as heating) devices with far-reaching energy saving potentials. Assuming the thermoelastic technology can make 40% energy savings, the overall saving will be 477 Tbtu of primary electricity. Moreover, according to a report by the U.S. Energy Information Administration, the emission of greenhouse gases (HCFCs/HFCs refrigerants) is equivalent to 146 MMT of CO2. If 50% of the vapor compressors using these GWP refrigerants are eliminated, the saving of CO2 emission will be an additional 73 MMT.",Funding Opportunity,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances","Air-Conditioning, Heating, and Refrigeration Technology Institute (AHRTI)","Implementing Low Global Warming Potential (GWP) and Energy-Efficient Refrigerant Technologies – Part II: Heat Transfer, Properties & Compatibility Studies",Arlington,VA,38.87997,-77.10677,https://www.energy.gov/eere/buildings/downloads/implementing-low-global-warming-potential-gwp-and-energy-efficient,"The overall project goal is to advance low GWP refrigerant technology and to develop a critical refrigerant database that allows U.S. manufacturers to implement low GWP refrigerants in their products in a timely and cost-effective manner. The objective of the project is to conduct experimental testing and modeling to characterize low GWP refrigerants heat transfer performance, refrigerant properties and their compatibility with lubricants and materials inside the heating, ventilation, air conditioning and refrigeration (HVACR) systems. The low GWP refrigerants research is highly desired by the U.S. industry. DOE’s funding of this project will develop critical refrigerant data to expedite the implementation of low GWP refrigerants in the U.S. market in a timely and less-costly way. The knowledge gained will help domestic manufacturers develop reliable and efficient products to compete in domestic and foreign markets.",Funding Opportunity,Active
Residential Buildings Integration,Technology & Systems Validation,Elevate Energy,"Chicago Energy Efficiency Planning and Analysis, and Integrated Retrofit Strategy Validation in Single Family Homes",Chicago,IL,41.8781,-87.6298,https://www.energy.gov/eere/buildings/downloads/chicago-energy-efficiency-planning-and-analysis-and-integrated-retrofit,"The project team will conduct technical analysis in order to develop a residential energy retrofit roadmap for Chicago, as well as, to propose the technical validation of advanced energy technologies in single family homes. The project will use ResStock to design and develop the combined efficiency, demand response, and renewable energy packages. It will then install these energy packages in 1-4 homes in Chicago to validate energy and cost savings estimates.",Funding Opportunity,Active
Commercial Buildings Integration,,Oak Ridge National Laboratory,Advanced Manufacturing for Building Envelope Retrofits,Oak Ridge,TN,36.010356,-84.269645,https://www.energy.gov/eere/buildings/downloads/advanced-manufacturing-building-envelope-retrofits,"This project will use advanced manufacturing techniques to customize and mass-produce energy-efficient and moisture-durable overclad panels for envelope retrofits. To accomplish this goal, the project team will develop new printable materials and integrate generative designs with multi-material printing to optimize structural and thermal performance. In addition, this project will also develop preliminary procedures that take scanned measurements of existing buildings and efficiently progress them from panel design to assembly.",Funding Opportunity,Active
Emerging Technologies,,National Renewable Energy Laboratory,Innovative Technologies to Overcome Interface Challenges for Wall Retrofit Systems,Golden,CO,39.755543,-105.2211,https://www.energy.gov/eere/buildings/downloads/innovative-technologies-overcome-interface-challenges-wall-retrofit-systems,"The overall goal of this project is to develop a novel modular overclad panelized retrofit solution to retrofit existing low-and mid-rise wood-framed building in the United States. The project team will work to develop an approach to retrofitting that is easily-adapted, rapidly-scalable, and cost-effective, particularly for the 55% of the residential housing stock that was built before 1980. The successful development and commercialization of this workflow will lead to a 50% reduction in envelope retrofit installation cost and labor compared to today’s conventional practices.",Funding Opportunity,Active
Emerging Technologies,,Syracuse University,Integrated Whole-Building Energy Efficiency Retrofit Solution for Residences in Cold/Very Cold Climates,Syracuse,NY,43.0481,-76.1474,https://www.energy.gov/eere/buildings/downloads/integrated-whole-building-energy-efficiency-retrofit-solution-residences,The goal of this project is to develop a transformative whole-building energy efficiency retrofit solution for attached single-family homes in cold/very cold climate regions. The approach will also be extendable to detached single-family residences and low-rise multifamily housing and will be affordable enough for public and private building owners to implement.,Funding Opportunity,Active
Building Energy Codes,Code Compliance,Northeast Energy Efficiency Partnerships,"Prefabricated Construction- Guidance, Technical Assistance, and Virtual Inspections",Lexington,MA,42.443037,-71.228964,https://www.energy.gov/eere/buildings/downloads/prefabricated-construction-guidance-technical-assistance-and-virtual,"The overarching goal of this project is to support increased adoption of advanced building construction practices, specifically investigating how prefabricated construction and virtual building inspections can lead to energy and cost savings and related environmental benefits while revitalizing the industry and optimizing affordability in regional construction markets. Additionally, the emergence of grid-interactive building technologies enables buildings and their systems to interact with a range of distributed energy resources and enhance grid performance and resilience. Partnering with key stakeholders, the Project Team proposes a multifaceted research and technical assistance strategy to engage regional design & construction industries, identify critical issues impeding the market adoption, and related energy code compliance issues, of aforementioned advanced building technologies, compile and disseminate best practices and resources regarding their integration into current industry practices, and support industry growth through market transformation.

Project Impact

This project has the potential to improve construction health and safety, increase construction starts and quality control, drive cost-effective building efficiency outcomes, address workforce constraints, and reduce construction costs. By addressing key regulatory and educational barriers in the industry, the rate of market adoption of these practices is likely to increase, thereby bringing energy, health, safety, environmental, and economic benefits to states, municipalities, and building occupants throughout the U.S.",Funding Opportunity,Active
Building Energy Codes,Code Compliance,Newport Partners,Next Generation Energy Training,Davidsonville,MD,38.922764,-76.628554,https://www.energy.gov/eere/buildings/downloads/next-generation-energy-training,"Relative to the building energy codes and standards from 15 years ago, modern codes have significantly increased efficiency in residential and commercial buildings. However, adopting the latest energy codes alone is not sufficient to prepare today’s building industry into a future-focused workforce of builders, contractors, designers, code officials and other critical industry stakeholders. Education and training on new energy technologies and efficiency practices is critical to increase stakeholder awareness, demystify design and application of new technologies, and clearly illustrate lessons learned and the business case for advanced systems.

To address these concerns, the project team will deliver an interactive and highly visual training curriculum with actionable information about advanced energy technologies, building science, and design and construction insights. The training will span introductory, intermediate, and advanced levels and will present a suite of technologies and building practices. The team will develop multiple variations of the training for different audience types (e.g., trades, code officials, builders, trade school professors), different formats (in-person training, webinars), and different building types (new and existing residential, commercial, and multifamily construction).

Project Impact

This project will support thousands of builders, contractors, designers, and building officials in better understanding and integrating new energy technologies into building projects. By establishing a workforce trained on comprehensive energy and building science concepts, this project has the potential to enhance career path options for energy efficiency professionals and even help to revitalize industries such as construction management, trades, and code enforcement which are currently challenged by an aging and transitioning workforce.",Funding Opportunity,Active
Building Energy Codes,Code Development & Analysis,University of Nebraska - Lincoln,Modular Construction: Energy Efficiency Field Study in Commercial and Multifamily Buildings,Lincoln,NE,40.817638,-96.700002,https://www.energy.gov/eere/buildings/downloads/modular-construction-energy-efficiency-field-study-commercial-and,"The objectives of this project are to (1) develop and test a cost-effective and replicable method for validating building energy standards in commercial modular construction and (2) assess the impact of energy efficiency technologies, measures, and related code provisions on building energy performance. This project will expand on the DOE commercial field study methodology to validate the potential of modular construction to more effectively meet the energy efficiency requirements of ANSI/ASHRAE/IES Standard 90.1 and the International Energy Conservation Code (IECC). This will be accomplished through a multi-year field study targeting five climate zones in four states {CA, FL, PA and WA}, documenting energy performance of 40 modular projects with a focus on multifamily buildings. Research will be conducted via both modular manufacturing and construction. In addition, the field team will evaluate market challenges and opportunities that may affect the scalability of modular construction in the commercial/multifamily sector, such as design flexibility, cost, schedule, quality, transportation logistics, safety and labor availability.

Project Impact

Prefabrication in a controlled, factory setting has the potential to improve energy efficiency and performance while streamlining related code compliance processes and better enabling the integration of advanced technologies. When integrated, this approach may reduce total energy use by 50 percent when compared to comparable site-built construction.

With a focus on multifamily occupancies, this project is uniquely positioned to address energy affordability among lower income and underrepresented market segments that have had historically high utility costs. Similarly, three of the four target regions are located in disaster-prone states, providing the opportunity to address issues related to resilience. Lastly, this project supports domestic production and specifically, workforce and economic development within the U.S. manufacturing sector.",Funding Opportunity,Active
Building Energy Codes,Code Compliance,University of Illinois - Champaign,Community College Energy Efficiency Training Program,Champaign,IL,40.1164,-88.2434,https://www.energy.gov/eere/buildings/downloads/community-college-energy-efficiency-training-program,"The overarching goal of this project is to prepare a new generation of energy professionals that will enable widespread adoption of energy efficiency in new construction and existing buildings. To accomplish this objective, the project team will establish a national network for energy code education, which will include state energy offices and community colleges. This project will develop and disseminate modularized curriculum materials that address the fundamentals and building science concepts that underpin building energy standards, while introducing the technological tools for effective and streamlined energy code compliance demonstration and verification. Lastly, the project team will train community college instructors to use the new curriculum materials so that the teachers can select and integrate resources into their existing curriculum.

Project Impact

This project will foster important connections between state workforce training programs and community colleges. It will ensure that instructors and faculty receive up-to-date information about building energy standards, technologies, practices and tools so that they can help their students achieve basic competencies in energy efficiency applications. Students will then enter the workforce better prepared to design and construct buildings that meet and exceed industry performance standards.",Funding Opportunity,Active
Building Energy Codes,Code Development & Analysis,Institute for Market Transformation,Commercial Energy Efficiency Field Study: Large Complex Buildings,Washington,DC,38.907192,-77.036871,https://www.energy.gov/eere/buildings/downloads/commercial-energy-efficiency-field-study-large-complex-buildings,"The goal of this project is to expand the DOE commercial energy efficiency field study methodology to accurately and cost-effectively measure the impact of energy-efficiency technologies, building energy codes and market-preferred compliance practices on energy performance in commercial buildings with complex mechanical systems. To fill a gap in sampling from the current field study methodology and similar previous work, this project will target large buildings in metropolitan areas across climate zones. Additionally, the project team will gather data on performance-based tradeoffs are being used by and how closely the modeled energy performance matches the actual energy performance of these buildings. Based on their findings, the team will work to establish guidance for the range of stakeholders working to demonstrate and verify compliance with these elements, as well as the related energy efficiency technologies and practices.

Project Impact

This project has the potential to enhance the understanding of industry building energy codes, standards, and related energy efficiency technologies and practices, in large commercial buildings, including empirical data surrounding complex mechanical system installation and operations, and performance-based projects. In addition, this project will identify technologies and measures which are most often traded under the whole-building performance methods (and performance compliance paths in codes). Currently, only anecdotal evidence about this issue exists. Information gathered from these efforts will be used to assist a range of industry professionals in targeting key compliance concerns, and to inform jurisdictional, state level, and national conversations on performance-based codes and standards.",Funding Opportunity,Active
Residential Buildings Integration,Technology & Systems Validation,Gas Technology Institute,Transformative Efficiency and Automation in Modular Homes (TEAMH),Des Plaines,IL,42.033362,-87.883399,https://www.energy.gov/eere/buildings/downloads/transformative-efficiency-and-automation-modular-homes-teamh,"The TEAMH project will apply multiple emerging technologies with modular manufacturing innovation and automation to cost-effectively produce new homes at a level of quality and energy savings on par with Passive House building practices. The project goal is to develop a scalable modular home design and construction process that can produce homes with 50% energy savings and no incremental cost versus site-built single-family homes built to the IECC 2018 energy code. Objectives of the project include:

 Define cost and performance-optimized efficiency measures and modular home manufacturing processes capable of achieving 50% savings over IECC 2018 code-minimum homes at no additional lifecycle cost when ramped into volume production.
Construct and commission a high-performance pilot home using the cost and performance optimized modular home measures and production process.
Monitor energy, comfort, and indoor air quality parameters in the high-performance modular home over heating and cooling seasons.
The project team will implement enhanced factory automation and robotics into their modular home production facility. The TEAMH project will expand the current automation plans to deliver a process that includes the following key elements:

Fully digitized and collaborative design software to integrate into robotized production process - translating Building Information Modeling into robotics assembly language.
Production practices that produce modular homes with a hybrid of human and automated robotic labor, leveraging the efficiencies and strengths of each.
Integration of emerging envelope technologies such as vacuum insulated panels or phase change material for load buffering and peak shifting.
For the research project, the project team will demonstrate production for Cold/Very Cold climates with a demonstration in Climate Zone 5 site such as Lake Tahoe, California.

Project Impact

TEAMH showcases residential construction practices that overcome industry challenges such as higher consumer expectations, skilled labor shortages, more rigorous energy codes, and new technologies.",Funding Opportunity,Active
Residential Buildings Integration,Technology & Systems Validation,Slipstream,Reimagining HVAC for New Manufactured Housing,Madison,WI,43.0731,-89.4012,https://www.energy.gov/eere/buildings/downloads/reimagining-hvac-new-manufactured-housing,"Manufactured housing (MH) represents one of the most affordable paths to home ownership for American households. The heating, ventilating and air-conditioning (HVAC) systems installed in manufactured homes can currently be characterized as low-cost systems that deliver expensively conditioned air through ductwork prone to leakage. This project team will facilitate feasibility assessment discussions and conduct proof of concept and field trial testing of various HVAC-related innovations for new manufactured homes.

The Slipstream team will evaluate, refine, and field test new approaches for delivering space heating and cooling in manufactured homes to improve energy efficiency, durability and indoor air quality without significantly increasing production and MH siting costs. Objectives for the project are:
 

implement a feasibility assessment of several duct-sealing and high-efficiency heat pump innovations and identify the most promising innovations based on market drivers and barriers, energy impacts and cost effectiveness; and,
implement proof-of-concept testing and field trials on the most promising innovations to further demonstrate feasibility; and
provide detailed guidance to the MH industry for widespread adoption of HVAC-related innovation.
The project team has assembled a panel of expert advisors and enlisted the support of many industry partners to support the effort and ensure it produces results that will help the industry tap potential savings and deliver a superior product to its customers.  

Project Impact

Project innovation around duct sealing seeks to address a significant shortcoming of current construction practices, and innovation with heat pumps seeks to introduce an inherently more efficient technology into this housing segment. In manufactured homes, duct leaks generally represent a direct loss of conditioned air to the outside and thus a large direct penalty on overall system efficiency. Obtaining consistently tight ducts that maintain their tightness over time—or eliminating the need for ductwork entirely—is a tremendous opportunity for improving the energy performance of MHs.

Modern inverter-driven air source heat pumps are significantly more efficient than older heat pump technology—and vastly more so than the electric-resistance heating that ships with many MHs. They are also capable of operating under much colder conditions than previous generations of heat pumps.

The project will focus on the hot-humid, cold, and marine climate regions that represent about 90% of MH shipments, and results are expected to be applicable nationwide. The combined innovations have potential for 57% reduction in space-conditioning primary energy, or 10.3 Tbtu of aggregate savings for the estimated 800,000 MHs that will be produced between 2023 and 2030.",Funding Opportunity,Active
Residential Buildings Integration,Technology & Systems Validation,Simple Homes,Flexible Industrial Automation in the Production of Closed Wall Panels for Zero Energy Ready Cottage Homes,Denver,CO,39.7392,-104.9903,https://www.energy.gov/eere/buildings/downloads/flexible-industrial-automation-production-closed-wall-panels-zero-energy,"This project seeks to develop an integrated building system for the design, manufacturing, and delivery of Department of Energy Zero Energy Ready Home (ZERH) certified cottage-style single-family homes. These homes will be 40–50% more energy efficient than a code-built home, featuring closed wall panels produced using industrial automation and off-site manufacturing. The integrated building systems will include three distinct elements:

An automated off-site production platform, consisting of a virtual prototype production line and pilot robotic cell that utilizes off-the-shelf industrial robotics to reduce the labor cost associated with closed wall panel fabrication and construction;
An efficient design platform consisting of predefined assemblies and modules that can be combined to create a variety of ZERH-certified homes, and;
An on-site delivery platform consisting of complementary technologies that are necessary for the cost-effective on-site delivery and construction of panelized ZERH-certified homes.
The consortium intends to share all results with the public in the form of research papers, conference presentations, and media interviews, as the work product of publicly-funded research. Simple Homes will also develop 3D visualizations and videos to share the results of the project with the public. Finally, the consortium intends to share standardized design guidance and best practices through the program that can help lay the framework for a broader library of knowledge on the adoption of automation in residential construction.

Project Impact

By developing a building system to produce ZERH certified homes at the same first cost as today’s code-built homes, this project will help improve overall adoption by mitigating one of the primary barriers. The total potential energy savings of this novel approach to ZERHs is approximate 0.6 quads. If successful, this project also has the potential to address the U.S. homebuilding industry’s challenges surrounding labor productivity and, in the process, improve the industry’s global competitiveness.",Funding Opportunity,Active
Commercial Buildings Integration,Technology & Systems Validation,Rocky Mountain Institute,Integrated Mechanical System Pods,Basalt,CO,39.3689,-107.0328,https://www.energy.gov/eere/buildings/downloads/integrated-mechanical-system-pods,"The objective of this project is to design, fabricate, and commercialize integrated mechanical system pods (IMSPs) for small and large multifamily buildings across the U.S to facilitate rapid deployment of deep energy retrofits. While IMSPs have been developed in Europe, most notably as part of the Energiesprong program, they have not yet been manufactured to meet U.S. market needs. To address this gap, this project team will develop IMSPs that are applicable to America’s unique multifamily building typologies and climates.

The project team will develop two models of IMSPs: (1) the IMSP-U for buildings with individual apartment mechanical systems and (2) the IMSP-C for buildings with central mechanical systems. These pods will provide heating, cooling, ventilation, domestic hot water, dehumidification and grid-interactive controls in one simple, highly efficient, and easy to deploy package. Both IMSPs will be designed to be deployed in low-load applications driven by corresponding envelope improvements or mild climates.

Project Impact

The creation of an easily deployable IMSP that can commercialize and scale up quickly, adapt to a variety of existing conditions, and achieve cost compression at scale, will help unlock a dramatic increase in deep energy retrofit rates across the country. By eliminating the time-conusming, disruptive,  costly, and bespoke  nature of traditional retrofit approaches, there is a potential market of 16.1 million multifamily units and an estimated annual energy savings of up to $4.3 billion in ASHRAE climate zones 3, 4, and 5 alone.

The IMSPs aloneare estimated to reduce site energy use by 27% (29% of heating energy reduction, 18% of cooling energy reduction, and 91% of domestic hot water energy use). If deployed across the targeted multifamily sector, the total technical potential savings is 463.7 Tbtu/yr. IMSPs, however, will not be designed to be deployed alone, but rather as part of an integrated retrofit with building envelope solutions. When integrated with a panelized envelope retrofit, the potential savings is approximately 1,009 Tbtu/yr.",Funding Opportunity,Active
Commercial Buildings Integration,Technology & Systems Validation,University of Notre Dame,Additive Manufacturing of Reinforced Concrete Structures with Integrated Energy Efficiency,Notre Dame,IN,41.7002,-86.2379,https://www.energy.gov/eere/buildings/downloads/additive-manufacturing-reinforced-concrete-structures-integrated-energy,"The goal of this project is to achieve high energy and construction efficiency through additive manufacturing (i.e., 3D printing) of concrete walls in buildings. 3D printing concrete possesses new opportunities for advancing energy efficiency and manufacturing in building construction, with demonstrated savings in construction cost and time. This project will aim to provide improved thermal efficiency while achieving the strength and ductility required for commercial, public works, and multi-story residential buildings.

The proposed technology aims to achieve superior thermal performance (i.e., 50% improvement in thermal resistance) without compromising structural performance at no additional first cost. To accomplish this objective, the project team will conduct experimental and numerical thermal and structural investigations to develop design and construction methods. They will then demonstrate and validate the performance of the 3D-printed concrete walls. The project’s key milestones including the following:

Successful printing of 3D-printed walls with varying insulation and reinforcing layouts;
Experimental evidence demonstrating behavior, benchmarked numerical modeling approaches, and progress toward target performance criteria; and
Full-scale prototypes demonstrating target performance criteria are achieved, design/manufacturing recommendations, and technology transition. 

Project Impact

Achieving the target energy performance of 50% higher thermal resistance while providing 100% strength and ductility as conventional (non-3D-printed) walls at no additional first cost will significantly advance U.S. building construction. The project impact will be on commercial, public works, and multi-story residential buildings, particularly in cold, mixed-humid, and marine climates, as these structures have some of the highest average site energy use intensity. An industry advisory board will provide guidance and ensure industry adoption of the research findings.",Funding Opportunity,Active
Commercial Buildings Integration,Technology & Systems Validation,Vermont Energy Investment Corporation,A New State-of-the-Art Zero-Energy Modular Factory and Multifamily Housing Construction System,Winooski,VT,44.4914,-73.1857,https://www.energy.gov/eere/buildings/downloads/new-state-art-zero-energy-modular-factory-and-multifamily-housing,"There is an acute national need for affordable housing, in rural and urbans areas alike. Zero-energy modular (ZEM) homes are emerging as a new housing option; they are quick to build and affordable to occupy. ZEMs combine the benefits of no- to low- monthly energy bills with the cost efficiencies of off-site, modular construction. All-electric and highly efficient, ZEM homes are often outfitted with rooftop solar arrays and use about as much energy as they produce each year. This project will create a ZEM multifamily construction system, including designs for a ZEM factory and ZEM multifamily units. The units’ design will meet DOE’s stretch goal of 50 percent more efficient than code at no additional first cost. The project will also create a ZEM workforce training module. A strong dissemination strategy for all of the deliverables (collectively, a blueprint) will spur growth of a national ZEM market and drive market demand. 

The project has four main tasks:

Creation of ZEM Evaluation Protocols: Protocols to evaluate the construction system during design, through construction and operation, post-occupancy.
Creation of the Construction System: Creation of an integrated system that will optimize the multifamily building design, maximize efficiency of construction, be cost competitive, and offer high levels of energy efficiency, renewable energy generation, and unit quality.
Quality Management System Workforce Development Curriculum: Design of a ZEM factory quality management system (QMS) and workforce training manual. Local technical programs will incorporate these materials into their current curricula.
Dissemination: Compilation of the evaluation protocols, construction system plans, and QMS training materials into an open-source package (the blueprint).

Project Impact

This project supports BTOs objectives for significantly reducing energy consumption and costs of new construction, and to holistically address the current shortcomings of the U.S. construction industry. This project will also offer a hub to transition BTO-sponsored high-performance technologies from the laboratory to the construction industry.",Funding Opportunity,Active
Commercial Buildings Integration,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Wall Embedded Multi-Functional Heat Pump with Energy Storage Systems for Grid-Responsive and Weather-Transactive Controls,Oak Ridge,TN,36.010356,-84.269645,https://www.energy.gov/eere/buildings/downloads/wall-embedded-multi-functional-heat-pump-energy-storage-systems-grid,"This project will develop an envelope-integrated, packaged multifunctional HVAC and WH unit. Coupled with phase-change material (PCM) panels responding to grid signals and weather forecasts, it will enable energy recovery, peak load shift, free cooling, and other services. The project will target multi-family buildings, both retrofits and new constructions, and will develop cutting-edge technologies including an air-source integrated heat pump, multi-objective controls, free cooling technology, and others.

Project Impact

Previous field validation in ORNL demonstrated that a residential air-source integrated heat pump (AS-IHP) led to annual energy saving up to 50%. The project aims to downsize the residential AS-IHP to a wall embedded, multifunctional heat pump and water heating unit (WAS-IHP). In the residential sector, the first target market is multifamily buildings, mobile homes provide another opportunity, because they tend to have no access to natural gas pipelines and have no air distribution ductwork. Once the technology is fully accepted by the market, the annual site savings are estimated to be 816 Tbtu in the residential sector.",Funding Opportunity,Active
Building Energy Codes,Code Compliance,Midwest Energy Efficiency Alliance,The Continuum from Energy Standards to Advanced Technologies - A New Approach to Training,Chicago,IL,41.878114,-87.629798,https://www.energy.gov/eere/buildings/downloads/continuum-energy-standards-advanced-technologies-new-approach-training,"This project will design and develop a statewide training and education program to support workforce development and the adoption of energy efficiency technologies in residential and commercial buildings. As Nebraska prepares to implement their recently passed statewide energy code update, which received much national attention, there is a unique opportunity to simultaneously educate the industry workforce and other stakeholders on the new code requirements, the building science behind those requirements, prominent energy efficiency technologies and opportunities, and advancements in building-grid integration.

In order to effectively capitalize on this unique opportunity, MEEA and their partners will develop a series of core and advanced training programs that integrate the requirements of the newly adopted 2018 IECC with future trends in building energy efficiency, including grid-integrated efficient building practices and other new building technologies. By presenting these two critical components as part of the same continuum, attendees will learn how advanced building practices and emerging technologies fit into the framework of the new energy code.

Project Impact

Nebraska’s update to the 2018 IECC spans three code cycles and will result in residential and commercial buildings that are over 30% more efficient. For the industry to successfully achieve this improvement in efficiency, several new concepts and measures will need to be addressed, many of which will be difficult to without adequate workforce training opportunities, particularly given a state building industry accustomed to the older and less efficient 2009 IECC. Leveraging this transitional period to engage and educate stakeholders on building science and emerging technologies creates a solid foundation from which to develop a highly skilled and appropriately educated workforce of the future.

As a result of this effort, students, public officials, and industry professionals will all have the necessary resources, training, and improved understanding required to effectively implement the new statewide energy code and prepare for the buildings of the future.",Funding Opportunity,Active
Commercial Buildings Integration,Technology & Systems Validation,International Center for Appropriate and Sustainable Technology,Catalyzing Mass Adoption of High-Efficiency Technologies in the Multifamily Housing Market,Lakewood,CO,39.70471,-105.081373,https://www.energy.gov/eere/buildings/downloads/catalyzing-mass-adoption-high-efficiency-technologies-multifamily-housing,"Multifamily properties typically install HVAC and domestic hot water (DHW) systems to meet minimum code requirements, which often lack significant energy efficiency targets. However, the high-efficiency HVAC and DHW technologies that are currently available are up to four times more efficient. To address this gap, ICAST will pilot test the installation of high-efficiency heat pump based HVAC and DHW systems to collect key data points on annual energy and cost savings. The project team will use the collected data to demonstrate the potential return on investment for building owners and promote broad demand for high-efficiency technologies throughout the multifamily market.

Project Impact

By driving very high-efficiency technology use in multifamily properties, this project will accelerate the introduction of combined high-efficiency HVAC & DHW systems that are not currently available in the U.S. ICAST estimates total energy savings of approximately 362 million kWh and total utility cost savings of about $540 million for every 100,000 such systems installed as a result of this project.",Funding Opportunity,Active
Commercial Buildings Integration,Technology & Systems Validation,Slipstream,"Field Demonstrations of Integrating Connected Lighting, Automated Shades, and Energy Storage for Flexible Building Loads",Madison,WI,43.0731,-89.4012,https://www.energy.gov/eere/buildings/downloads/field-demonstration-integrating-connected-lighting-automated-shades-and,"In regions that have high utility demand charges, utilities and building communities have a great need to develop diverse approaches for grid flexibility in end-user loads. There is significant potential for building load flexibility in commercial lighting and HVAC systems by integrating sensors and controls from multiple building energy systems. The project team proposes to conduct technical analysis and field testing of the integrated system of connected lighting, automated shades, and intelligent thermal storage.

The project team will analyze and field test two integrated systems:

Connected lighting, automated shades, and intelligent energy storage; and
Connected lighting and automated shades.
The main project objective is to conduct a technical analysis to investigate the integrated systems’ potential in providing grid-interactive flexible building loads and validate the performance in two real buildings. Since demand-related charges usually represent 30 to 70 percent of most commercial customers’ electric bills, our ideal field test locations are in the Northeast and California, where utility demand charges are the highest. Suitable building types are owner-occupied office buildings or higher-education facilities that have high daylight availability and large common working spaces.

The project will focus on integrating the high-density occupancy and daylighting sensor signals from connected lighting systems and the real-sky condition, the solar angle, and the solar radiation readings from automated shading systems with building automation systems (BAS), to optimally control each shade’s positions and lighting fixture’s dim levels for load shedding. The team will also integrate NETenergy’s hybrid rooftop unit (RTU) + thermal storage prototype for HVAC load shifting.

Project Impact

The project will target the connected lighting system with automated shades to provide short-term (one hour) load shedding capability of reducing 50 percent of lighting power with an occupant dissatisfaction rate of less than 10 percent. Also, it will target the connected lighting system with automated shades and intelligent thermal storage to provide load shifting capability (up to four hours) to reduce 40 percent of HVAC and lighting loads, with an occupant dissatisfaction rate of less than 10 percent.",Funding Opportunity,Active
Residential Buildings Integration,Technology & Systems Validation,Northeast Energy Efficiency Partnerships,Field Validation of Variable Refrigerant Flow (VRF) System Performance in Cold Climates,Lexington,MA,42.443037,-71.228964,https://www.energy.gov/eere/buildings/downloads/field-validation-variable-refrigerant-flow-vrf-system-performance-cold,"The project will focus on generating high-quality data on energy performance and refrigerant leakage, as well as effectively communicating these results to key audiences (i.e., building engineers, large commercial building developers, state/local housing agencies, program administrators, and municipalities) that directly impact HVAC technology selection in commercial, institutional, and multifamily buildings. 
This project will establish a greater level of confidence in VRF performance across the commercial HVAC market and supply chain, particularly in cold climates, and this will drive increased levels of market adoption. Greater adoption of VRF in the commercial, institutional, and multifamily markets will help U.S. businesses, multifamily tenants, and local/state governments achieve a number of benefits such as significantly reducing energy usage compared to other incumbent HVAC technologies, increasing energy cost savings, and improving comfort and productivity for building occupants.",Funding Opportunity,Active
Residential Buildings Integration,Technology & Systems Validation,Fraunhofer,Prefabricated Insulated Blocks for Low-Cost Deep Energy Retrofits,Boston,MA,42.360083,-71.05888,https://www.energy.gov/eere/buildings/downloads/prefabricated-insulated-blocks-low-cost-deep-energy-retrofits,"Deep energy retrofits can cut home heating and cooling bills in half or more, but they are very expensive and disruptive. The objective of this project is to develop and demonstrate a new labor-saving approach to deep energy retrofits, using prefabricated insulated blocks for mass customization of low-rise residential building retrofits in cold, very cold, and mixed humid climates. The lightweight (less than 5 pounds), closed-cell polyurethane foam panel blocks will add R-26 to existing buildings to create a wall that is highly resistant to both heat and moisture penetration. This approach will greatly reduce the onsite labor and installation to super-insulate an existing house, achieving whole-wall R-values between R-30 and R-40, more than double that of a typical house. By integrating several innovations, the project team will enable completion of a full wall retrofit by two workers in five days or less at an installed cost of less than $6 per square foot. The resulting system will be a cost-effective solution for cutting heating and cooling loads in half for existing low-rise residential buildings in cold, very cold, and mixed humid climates. Furthermore, the low capital investment required by contractors will make this approach compatible with the business models of small contractors, which makes it more likely to be widely adopted.",Funding Opportunity,Active
