Program,Activity,ProjectLead,ProjectTitle,City,State,Latitude,Longitude,DOE Project Web Page,Concise Description,Funding Type,Status
Emerging Technologies,R&D - Transactive Controls,Los Alamos National Laboratory,GMLC 1.3.11 - Grid Analysis and Design for Energy and Infrastructure Resiliency for New Orleans,Los Alamos,NM,35.880036,-106.303114,https://energy.gov/eere/buildings/downloads/gmlc-1311-grid-analysis-and-design-energy-and-infrastructure-resiliency-new,"This project was developed to help identify a set of cost-effective options for enhancing the resilience of grid operations and the community of New Orleans, Louisiana (NOLA). The project comprised several major tasks, including: 	Infrastructure Impact Modeling and Analysis; Resilient Power Distribution Modeling and Analysis; Integration of Distributed, Renewable, Energy Storage, and Energy Efficiency Options; and 	Cost/Benefit Analysis.",Lab Award,Inactive
Residential Buildings Integration,Technology & Systems Validation,Pacific Northwest National Laboratory,Intelligent Residential Comfort Control Applications,Richland,WA,46.285691,-119.284462,https://energy.gov/eere/buildings/downloads/intelligent-residential-comfort-control-applications,"The market for sensors and controls in residential comfort control applications is broad and disjointed across the construction, HVAC, and consumer electronics industries. This project conducted literature review and industry engagement to characterize the state of the market for advanced control applications in the commissioning, maintenance, and operation of residential comfort control equipment.",Lab Award,Inactive
Emerging Technologies,R&D - Advanced Lighting,PhosphorTech Corporation,Hybrid Down-Converting Structures for Solid State Lighting,Kennesaw,GA,34.023434,-84.61549,https://energy.gov/eere/ssl/downloads/hybrid-down-converting-structures-solid-state-lighting,"This project will seek to develop high-performance hybrid inorganic downconverting material systems for high-brightness LEDs. Achieving higher luminous efficacy in phosphor-converted LEDs requires breakthroughs in downconverting materials that provide high conversion efficiency, tunable narrow-bandwidth emission, and good temperature/chemical stability.",Small Business Innovation Research,Active
Emerging Technologies,R&D - Advanced Lighting,"Lumisyn, LLC",Tunable Nanocrystal-Based Phosphors with Reduced Spectral Widths,Rochester,NY,43.16103,-77.610922,https://energy.gov/eere/ssl/downloads/tunable-nanocrystal-based-phosphors-reduced-spectral-widths,"Lumisyn has successfully created a novel class of high-efficiency, nontoxic nanocrystals that overcome many of the longstanding problems of other alternatives. By targeted synthetic/compositional work in combination with appropriate optical and material characterization of the nanocrystals, Lumisyn will further refine a model of the factors contributing to high efficiency under both ambient and adverse (high-temperature and high-excitation-flux) LED operating conditions.",Small Business Innovation Research,Active
Emerging Technologies,R&D - Advanced Lighting,Pixelligent,Advanced Light Extraction Material for OLED Lighting,Baltimore,MD,39.290385,-76.612189,https://energy.gov/eere/ssl/downloads/advanced-light-extraction-material-oled-lighting-0,"Pixelligent Technologies will develop an advanced, cost-effective light-extraction material for OLED lighting. The mismatch between the refractive indices among the active layer, transparent conductive anode layer, indium tin oxide, and substrate is a major root cause of light loss in OLEDs. Incorporating any internal light-extraction structures that address this root casue can dramatically improve the efficacy and lifetime of the OLED device.",Small Business Innovation Research,Active
Emerging Technologies,R&D - Advanced Lighting,"Luminit, LLC",Light Extraction System for OLED,Torrance,CA,33.835492,-118.3406288,https://energy.gov/eere/ssl/downloads/light-extraction-system-oled,"Luminit, LLC will develop a novel system to increase the light extraction in OLEDs by using surface patterning to reduce waveguide losses. The proposed light-extraction system for OLEDs (LESO) is an advanced surface structure that increases light extraction in OLEDs using surface patterning in the interface between high- and low-refractive-index resins, to reduce the waveguide losses.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Advanced Lighting,"OLEDWorks, LLC","Ultra-thin, Curved, High Efficacy OLED Light Engine",Rochester,NY,43.16103,-77.610922,https://energy.gov/eere/ssl/downloads/ultra-thin-curved-high-efficacy-oled-light-engine,"OLEDWorks, LLC will design and demonstrate an ultrathin, curved, high-efficacy OLED light engine that will reduce the cost of OLED lighting. The light engine will incorporate an OLED lighting panel on thin, flexible glass; a high-efficiency driver; and an easy-to-use mechanical/eletrical connector that will offer luminaire designers a new, simple, and creative component to inspire and accelerate the commercial production of revolutionary designs with faster product-introduction cycles.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Advanced Lighting,Lucent Optics Inc.,Ultra-Thin Flexible LED Lighting Panels,Sacramento,CA,38.581572,-121.4944,https://energy.gov/eere/buildings/downloads/ultra-thin-flexible-led-lighting-panels,"Lucent Optics Inc. will develop and offer for sale a novel wide-area luminaire technology that enables efficient and cost-effective combination of high-brightness LEDs and flexible light-guiding films. Uniquely, the technology combines the low cost, high efficiency, and manufacturing maturity of inorganic LED technology with the flexible and ultrathin form and design flexibility characteristics of OLEDs.",Small Business Innovation Research,Active
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,JDM Associates,Energy Efficiency Financing and Valuation,Falls Church,VA,38.882334,-77.171091,http://energy.gov/eere/buildings/downloads/energy-efficiency-financing-and-valuation,"JDM Associates and Lawrence Berkeley National Laboratory are building  upon prior project work  for BTO?s Data Lab and Valuation Training. This work includes providing support for a new scoping study to identify practices  for enabling the incorporation of energy-related risks  into mortgages, and  executing a pilot research study utilizing the data from a pilot organization to illustrate the benefits of energy efficiency on property value.",Direct Funded,Inactive
Commercial Buildings Integration,Energy Data & Design/Decision Tools,Performance Systems Development,OpenEfficiency Initiative,Ithaca,NY,42.443961,-76.501881,https://energy.gov/eere/buildings/downloads/openefficiency-initiative,"The OEI will capitalize on existing DOE investments to create an integrated open source technology platform?the OpenEfficiency Platform (OEP)?capable of supporting a range of energy efficiency program types. Working closely with a group of utility program administrators, the OEI will support the design, planning, and use of the OEP in a series of commercial pilot programs for whole building energy efficiency, local government benchmarking, and auditing.",Funding Opportunity,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Performance Evaluation of Packaged Rooftop AC Units with Alternative Refrigerants at High Ambient Temperature Environments,Oak Ridge,TN,36.010356,-84.269645,https://energy.gov/eere/buildings/downloads/performance-evaluation-packaged-rooftop-ac-units-alternative-refrigerants,"Oak Ridge National Laboratory is evaluating the drop-in performance of alternative refrigerants in advanced rooftop units (RTUs). This supports industry needs for low global warming potential (GWP) refrigerant solutions to the current typical refrigerants used in rooftop air conditioner units (RTU); R-22 in the developing world and R-410A in developed nations. This project evaluated multiple alternative refrigerants in a range of operating conditions up-to extreme hot conditions, 131øF, experienced in the Middle East and India?two of the most expanding markets for air conditioners.",Lab Award,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",National Institute of Standards and Technology,Modeling Tools for Flammability Ranking of Low-GWP Refrigerant Blends,Gaithersburg,MD,39.139727,-77.21793,https://energy.gov/eere/buildings/downloads/modeling-tools-flammability-ranking-low-gwp-refrigerant-blends,"The goal of the project outlined here is to develop the capability to predict the burning velocity of arbitrary mixtures of R32, R125, R134a, R152a, 1234yf, and 1234ze(E), so that flammability of a blend can be minimized, while simultaneously maximizing performance related to other parameters. Once developed, the models can then be used to understand the effect of individual components of blends on the flammability behavior so that guiding principles can be developed that will be useful for consideration of other approaches to reducing flammability.",Direct Funded,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Evaluation of Safe Refrigerant Charge Limits for Flammable Refrigerants,Oak Ridge,TN,36.010356,-84.269645,https://energy.gov/eere/buildings/downloads/evaluation-safe-refrigerant-charge-limits-flammable-refrigerants,"Oak Ridge National Laboratory is investigating the scientific basis of appropriate flammable refrigerant charge limits and mitigation tactics. This project team has performed a literature review to analyze key technology gaps and missing information. Then, a series of tests and companion computational fluid dynamics (CFD) simulations for relevant cases were performed to calibrate the CFD models.  The calibrated models will be used in parametric investigations of a range of equipment and refrigerant leak cases.  Results will be used to generate recommendations for revising charge limits currently used in safety standards and will be documented in a final report and journal publications.",Lab Award,Active
Emerging Technologies,Energy Data & Design/Decision Tools,Lawrence Berkeley National Laboratory,Creating A Detailed Energy Benchmarking Service,Berkeley,CA,37.871593,-122.272747,https://energy.gov/eere/buildings/downloads/creating-detailed-energy-benchmarking-service,"In this project, Lucid worked with LBNL to launch a free benchmarking service called BenchmarkMyBuilding. BenchmarkMyBuilding uses EPA?s Portfolio Manager and DOE?s Building Performance Database to present operators with building type- and geography-specific benchmarking data and help them identify buildings that are good candidates for the BuildingOS service.",Small Business Vouchers Pilot,Inactive
Commercial Buildings Integration,Technology & Systems Validation,TRC Energy Services,Integrated Solutions for Optimized Performance (ISOP) Package,Oakland,CA,37.804364,-122.271114,https://energy.gov/eere/buildings/downloads/integrated-solutions-optimized-performance-isop-package,"This project studies the synergistic interactions of daylighting, plug controls, automated fault detection and diagnostics (AFDD) and HVAC optimization. If widely used, the package of daylighting techniques, plug loads, AFDD and controls for HVAC systems validated in this project could have savings of 756 Tbtu per year.",Funding Opportunity,Active
Commercial Buildings Integration,Technology & Systems Validation,University of New Haven,Fault Detection and Diagnosis (FDD) Tools for Retro-Commissioning and Continuous Commissioning of HVAC and Refrigeration Systems,New Haven,CT,41.3083,-79.9279,https://energy.gov/eere/buildings/downloads/fault-detection-and-diagnosis-fdd-tools-retro-commissioning-and-continuous,"This project will study selected software and hardware platforms that apply algorithms to identify, diagnose, and sometimes fix ?broken? electric cooling, ventilation and refrigeration systems in buildings. If widely used, the fault detection and diagnosis tools validated in this project could have savings of 927 Tbtu per year.",Funding Opportunity,Active
Commercial Buildings Integration,Technology & Systems Validation,Seventhwave,Integrated Controls Package for High Performance Interior Retrofit,Madison,WI,43.073052,-89.40123,https://energy.gov/eere/buildings/downloads/integrated-controls-package-high-performance-interior-retrofit,"The project will study the integration trade-offs, cost and energy optimization of daylighting, LED electric lighting, plug load sensors and zonal air plow controls. If widely adopted, the integrated controls package in this project could have savings up to 750 Tbtu per year.",Funding Opportunity,Active
Emerging Technologies,R&D - Window & Building Envelope,Oak Ridge National Laboratory,Optimization of Very Low Thermal Conductivity Material,Oak Ridge,TN,36.010356,-84.269645,https://energy.gov/eere/buildings/downloads/optimization-very-low-thermal-conductivity-material,"Oak Ridge National Laboratory aims to develop a cost-effective insulation material with thermal resistance R-values higher than state-of-the-art insulation material, Aerogel, and two to three times higher than conventional insulation, such as polyurethane foams.",TCF,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Thermoelectric Heat Pump Recovery System for Domestic Dishwashers,Oak Ridge,TN,36.010356,-84.269645,https://energy.gov/eere/buildings/downloads/thermoelectric-heat-pump-recovery-system-domestic-dishwashers,This project will develop and test a prototype heat recovery dishwasher for the U.S. residential market. A heat recovery dishwasher could save approximately 90 Tbtu/year when fully deployed nationwide.,TCF,Active
Emerging Technologies,R&D - Building Energy Modeling,National Renewable Energy Laboratory,Multifamily Building Stock Modeling,Golden,CO,39.755543,-105.2211,https://energy.gov/eere/buildings/downloads/multifamily-building-stock-modeling,"The National Renewable Energy Laboratory will work with Radiant Labs to create an open-source version of ResStock, one that is extended to cover multifamily buildings.",Small Business Vouchers Pilot,Active
Emerging Technologies,R&D - Window & Building Envelope,V-Glass,Vacuum Glass for R-10 Windows,Pewaukee,WI,43.0542,-88.2169,https://energy.gov/eere/buildings/downloads/vacuum-glass-r-10-windows,V-Glass will develop a Vacuum Insulating Glass (VIG) unit with tiny wire whiskers as pane spacers for superior insulating performance and lifetime.,Small Business Innovation Research,Active
Emerging Technologies,R&D - Sensors & Controls,Oak Ridge National Laboratory,Adaptive Supervisory Control for Automated Fault Detection and Diagnostics,Oak Ridge,TN,36.010356,-84.269645,https://energy.gov/eere/buildings/downloads/adaptive-supervisory-control-automated-fault-detection-and-diagnostics,Oak Ridge National Laboratory will develop sensors and controls technology for improving energy efficiency of buildings and building equipment along with identifying opportunities for buildings to provide transactive energy services.,Lab Award,Active
Emerging Technologies,R&D - Sensors & Controls,Intelligent Optical Systems Inc.,Optical Humidity Sensors for Building Energy Performance and Air Quality Control,Torrance,CA,33.835849,-118.340629,https://energy.gov/eere/buildings/downloads/optical-humidity-sensors-building-energy-performance-and-air-quality-0,Intelligent Optical Systems Inc. is exploring a pathway resole the limited long-term accuracy of current state-of-the-art humidity sensors by investigating hydrophobic materials doped with humidity sensitive indicator dye to develop optical sensors as a cost-effective approach.,Small Business Innovation Research,Active
Emerging Technologies,Technology & Systems Validation,Oak Ridge National Laboratory,Experimental Validation of a New Inexpensive and Noninvasive BTU Meter,Oak Ridge,TN,36.010356,-84.269645,https://energy.gov/eere/buildings/downloads/experimental-validation-new-inexpensive-and-noninvasive-btu-meter,The project will improve the BTU meter sensor and experimentally test and validate a novel BTU meter system developed by FluxTeq.,Small Business Vouchers Pilot,Active
Residential Buildings Integration,R&D - Window & Building Envelope,Aspen Products Group Inc.,High Flux Moisture-Permeable Membrane for Use in a Low-Cost Energy Recovery Ventilator,Marlborough,MA,42.3459,-71.5523,https://energy.gov/eere/buildings/downloads/high-flux-moisture-permeable-membrane-use-low-cost-energy-recovery,Aspen Products Group Inc. is developing a unique energy recovery ventilator (ERV) technology that will employ a lower cost vapor-permeable membrane that boosts latent recovery by 50% compared to current ERV technology.,Small Business Innovation Research,Active
Emerging Technologies,R&D - Advanced Lighting,University of California - Santa Barbara,High Performance Green LEDs for Solid State Lighting,Santa Barbara,CA,34.420831,-119.69819,https://energy.gov/eere/buildings/downloads/high-performance-green-leds-solid-state-lighting,"The University of California, Santa Barbara will address the fundamental challenges for green LEDs by a combination of innovations in epitaxial growth and layer design, advanced processes including tunnel junctions, and advanced materials characterization.",Funding Opportunity,Active
Emerging Technologies,R&D - Advanced Lighting,"Lumileds, LLC",Improved Radiative Recombination in AlGaInP LEDs,San Jose,CA,37.338208,-121.886329,https://energy.gov/eere/buildings/downloads/improved-radiative-recombination-algainp-leds,Lumileds with improve the external quantum efficiency of amber and red aluminium gallium indium phosphide (AIGaInP)-based LEDs by developing strain-engineered cladding layers to provide enhanced carrier confinement. Poor radiative recombination efficiency in direct-emitting amber and red AIGaInP LEDs is a major barrier to achieving energy efficient color-mixed and color-tunable solid-state lighting.,Funding Opportunity,Active
Emerging Technologies,R&D - Advanced Lighting,Virginia Tech,Investigating the Health Impacts of Outdoor Lighting,Blacksburg,VA,37.229573,-80.413939,https://energy.gov/eere/buildings/downloads/investigating-health-impacts-outdoor-lighting,Virginia Polytechnic Institute and State University will attempt to measure the impact of lighting on the users of an outdoor ligthing space. The researchers will use the results to determine the effects of different lighting types on the melatonin levels of the participants.,Funding Opportunity,Active
Emerging Technologies,R&D - Advanced Lighting,University of California - San Diego,Novel Lighting Strategies for Circadian and Sleep Health in Shift Work Applications,San Diego,CA,32.7157,-117.1611,https://energy.gov/eere/buildings/downloads/novel-lighting-strategies-circadian-and-sleep-health-shift-work,"The University of California, San Diego will develop and test the efficacy of novel light-based circadian interventions for enhancing sleep, health, alertness, performance, and quality of life in nightshift workers.",Funding Opportunity,Active
Emerging Technologies,R&D - Advanced Lighting,University of California - Los Angeles,Combining Fluorescence and Phosphorescence to Achieve Very Long Lifetime and Efficient White OLEDs,Los Angeles,CA,34.052234,-118.243685,https://energy.gov/eere/buildings/downloads/combining-fluorescence-and-phosphorescence-achieve-very-long-lifetime-and,"This project takes a different approach to achieving white electroluminescence, which involves the use of a combination of fluorescent and phosphorescent that will markedly improve cell efficacy and lifetime. The research on hybrid fl/ph WOLED represents a true paradigm shift in WOLED development, utilizing both fl and ph emitters at the peak of their performance.",Funding Opportunity,Active
Emerging Technologies,R&D - Advanced Lighting,OLEDWorks,Mask-Free OLED Fabrication Process for Non-Tunable and Tunable White OLED Panels,Rochester,NY,43.16103,-77.610922,https://energy.gov/eere/buildings/downloads/mask-free-oled-fabrication-process-non-tunable-and-tunable-white-oled,"OLEDWorks will attempt to develop and demonstrate a novel fabrication process that eliminates the use of shadow masks during the OLED deposition process. Today, all white OLED lighting panels are made using at least two shadow masks during the vacuum thermal evaporation (VTE) deposition process - one for organic layers and one for cathode layers - and every new panel design requires a costly new set of masks.",Funding Opportunity,Active
Emerging Technologies,R&D - Advanced Lighting,Georgia Institute of Technology,Stable White Organic Light-Emitting Diodes Enabled by New Materials with Reduced Excited-State Lifetimes,Atlanta,GA,33.748995,-84.387982,https://energy.gov/eere/buildings/downloads/stable-white-organic-light-emitting-diodes-enabled-new-materials-reduced,"Georgia Institute of Technology will research, develop and demonstrate blue-emitting layers (blue-EML) capable of overcoming the existing device efficiency vs. device stability tradeoff in blue-emitting OLEDs, and enable next-generation stable white OLEDs (WOLEDs).",Funding Opportunity,Active
Emerging Technologies,R&D - Sensors & Controls,"Leaptran, Inc.",An Open Source Proactive Energy Management System (PEMS) for Integrated Control of Energy Storage and Solar Powered Buildings,San Antonio,TX,29.4241,-98.4936,https://energy.gov/eere/buildings/downloads/open-source-proactive-energy-management-system-pems-integrated-control,Leaptran Inc. will develop an integrated and interoperable control and communication software platform that proactively manages distributed energy systems and optimizes the total cost for building owners while maintaining reliable grid operation. This project will effectively co-optimize building management systems and battery energy storage systems (BESS) in an open-source and scalable platform.,Small Business Innovation Research,Active
Emerging Technologies,R&D - Sensors & Controls,University of Washington,Integration of Battery Modeling with Solar Building Energy Storage,Seattle,WA,47.60621,-122.332071,https://energy.gov/eere/buildings/downloads/integration-battery-modeling-solar-building-energy-storage,Battery Informatics Inc. will improve the value of Li-ion batteries using software to control how the batteries are operated by changing the batteries from conservatively operated devices to managed assets.,Small Business Innovation Research,Active
Emerging Technologies,R&D - Sensors & Controls,BlazeTech Corp.,Solar Building Energy Storage Management,Woburn,MA,42.4793,-71.1523,https://energy.gov/eere/buildings/downloads/solar-building-energy-storage-management,"BlazeTech Corp. will develop a robust and flexible software for a solar building prototype that controls and interfaces with an adaptive battery management system along with solar panels, dynamic loads and the utility supply.",Small Business Innovation Research,Active
Emerging Technologies,R&D - Window & Building Envelope,Stanford University,Robust Large-Scale Dynamic Windows Using Reversible Metal Electrodeposition,Stanford,CA,37.4241,-122.1661,https://energy.gov/eere/buildings/downloads/robust-large-scale-dynamic-windows-using-reversible-metal-electrodeposition,Stanford University will work toward the development of inexpensive dynamic windows based on reversible electroplating of metals.,Funding Opportunity,Active
Emerging Technologies,R&D - Window & Building Envelope,"Fraunhofer USA, Inc.",Development of Isocyanurate-Based Super Insulation at Atmospheric Pressure (SIAP) with Target Resistance R-12 hrúft2úøF/BTUúin,Boston,MA,42.360083,-71.05888,https://energy.gov/eere/buildings/downloads/development-isocyanurate-based-super-insulation-atmospheric-pressure-siap,This project is focused on developing an isocyanurate-based nanofoam for building and industrial applications.,Funding Opportunity,Active
Residential Buildings Integration,"R&D - HVAC, Water Heating, and Appliances",University of Central Florida,Integrated HVAC Control Methods for Supplemental High-Efficiency Mini-Split Heat Pumps in Existing Homes,Orlando,FL,28.538336,-81.379236,https://energy.gov/eere/buildings/downloads/integrated-hvac-control-methods-supplemental-high-efficiency-mini-split,This project will further refine a new approach to using mini-split heat pumps in existing homes.,Funding Opportunity,Active
Residential Buildings Integration,Technology & Systems Validation,Rocky Mountain Institute,Experimental Envelope Fabrication Process for Integrated Zero Energy Ready Multifamily Renovations,Basalt,CO,39.3689,-107.0328,https://energy.gov/eere/buildings/downloads/experimental-envelope-fabrication-process-integrated-zero-energy-ready,"The project will produce a standardizable, transferable, climate zone-specific net zero energy ready retrofit system. This system will be tested at a multifamily affordable housing pilot site.",Funding Opportunity,Active
Residential Buildings Integration,R&D - Sensors & Controls,Newport Partners,Development of Laboratory Test Methods for Low-Cost Indoor Air Quality Sensors,Davidsonville,MD,38.922764,-76.628554,https://energy.gov/eere/buildings/downloads/development-laboratory-test-methods-low-cost-indoor-air-quality-sensors,The goal of this project is to develop laboratory test methods for performance verification of low-cost IAQ sensors and provide technical support to industry stakeholders during the development of an ASTM standard based on these test methods.,Funding Opportunity,Active
Residential Buildings Integration,Technology & Systems Validation,Pacific Northwest National Laboratory,Baseline Indoor Air Quality (IAQ) Field Study in Occupied New U.S. Homes: Cold and Marine Climates,Richland,WA,46.285691,-119.284462,https://energy.gov/eere/buildings/downloads/baseline-indoor-air-quality-iaq-field-study-occupied-new-us-homes-cold-and,"This project entails the measurement of time-integrated concentrations and temporal profiles of humidity and established contaminants of concern in a minimum of 64 new homes located in cold and marine climate zones. Results will enable associations of indoor humidity and contaminant levels with the presence of control measures including American Society of Heating, Refrigerating and Air-Conditioning Engineers (ASHRAE) Standard 62.2 compliant mechanical ventilation and envelope airtightness.",Funding Opportunity,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Xergy,Hydrogen/Metal Hydride Based Heat Pump System for Large HVAC Applications Utilizing an Ionic Liquid Desiccant Subsystem,Seaford,DE,38.641226,-75.611038,https://energy.gov/eere/buildings/downloads/hydrogenmetal-hydride-based-heat-pump-system-large-hvac-applications,Xergy will combine electrochemical compression technology with ionic liquid desiccant to provide the most efficient means of managing latent and sensible heat loads in air-conditioning (AC) systems.,Funding Opportunity,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",University of Maryland,"Design and Manufacturing of High-Performance, Reduced Charge Heat Exchangers",College Park,MD,38.989697,-76.93776,https://energy.gov/eere/buildings/downloads/design-and-manufacturing-high-performance-reduced-charge-heat-exchangers,"The University of Maryland will develop the next generation air-to-refrigerant heat exchangers using non-round tubes that are 25% smaller, 25% lighter and 30% reduced charge than state-of-the-art heat exchangers. The reduced charge advantage will facilitate the use of alternative refrigerants (A2L, A3), which are some of the most efficient refrigerants available.",Funding Opportunity,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Stone Mountain Technologies,Gas-Fired Absorption Heat Pump,Erwin,TN,36.145108,-82.416806,https://energy.gov/eere/buildings/downloads/gas-fired-absorption-heat-pump,Stone Mountain Tech. Inc. is developing a gas-fired absorption heat pump that offers a significant advancement for space and water heating technologies when compared to conventional gas heating technologies.,Funding Opportunity,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Mechanical Dehumidification Using High-Frequency Ultrasonic Vibration,Oak Ridge,TN,36.010356,-84.269645,https://energy.gov/eere/buildings/downloads/mechanical-dehumidification-using-high-frequency-ultrasonic-vibration,"Oak Ridge National Laboratory (ORNL) will investigate a novel dehumidification process to avoid the excessive energy utilized by conventional approaches, through high-frequency mechanical vibration of ultrasonic transducers to ?eject? adsorbed water in a liquid form.",Funding Opportunity,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Arkema Inc.,Use of Cost-Effective Additives to Reduce Flammability in 2L Refrigerants,King of Prussia,PA,40.1013,-75.3836,https://energy.gov/eere/buildings/downloads/use-cost-effective-additives-reduce-flammability-2l-refrigerants,"Arkema and its partner, Trane U.S. Inc, are working to develop and validate new low-cost, low-toxicity additives for A2L refrigerants to reduce flammability and lower global warming potential (GWP).",Funding Opportunity,Active
Commercial Buildings Integration,Technology & Systems Validation,Minnesota Center for Energy and Environment,Using Network Switches to Operate and Control Lighting and Plug Loads in Commercial Building Office Spaces,Minneapolis,MN,44.977753,-93.265011,https://energy.gov/eere/buildings/downloads/using-network-switches-operate-and-control-lighting-and-plug-loads,"This project will research and validate energy and cost savings opportunities using power over Ethernet (PoE) infrastructure to power and automate lighting, plugs, and HVAC system controls.",Funding Opportunity,Active
Emerging Technologies,R&D - Sensors & Controls,University of Virginia,The Building Adapter: Automatic Mapping of Commercial Buildings for Scalable Building Analytics,Charlottesville,VA,38.0293,-78.4767,https://energy.gov/eere/buildings/downloads/building-adapter-automatic-mapping-commercial-buildings-scalable-building,University of Virginia will develop a technique to automatically construct new contextual information for sensing and control points based on point names and the raw time series value. This will allow for integration and connectivity from building analytics engines to commercial building management systems with minimal or no manual point mapping.,Funding Opportunity,Active
Emerging Technologies,R&D - Sensors & Controls,National Renewable Energy Laboratory,Energy Design and Scoping Tool for DC Distribution Systems,Golden,CO,39.755543,-105.2211,https://energy.gov/eere/buildings/downloads/energy-design-and-scoping-tool-dc-distribution-systems,"This project will assess the DC power market to understand distribution opportunities, technical and analytical gaps for residential and commercial applications, and inform the analysis, design, and planning capabilities of these loads. The team will extend DOE?s open-source whole-building energy modeling tools platform?the EnergyPlus engine and OpenStudio software development kit?with power distribution system modeling capabilities to enable evaluation of energy and economic benefits of AC, DC, and hybrid power distribution systems.",Funding Opportunity,Active
Emerging Technologies,R&D - Sensors & Controls,University of California - Berkeley,Low-Cost Identification and Monitoring of Diverse MELs in Residential and Commercial Buildings with PowerBlade,Berkeley,CA,37.871593,-122.272747,https://energy.gov/eere/buildings/downloads/low-cost-identification-and-monitoring-diverse-mels-residential-and,"The team led by the University of California-Berkeley will integrate the previously developed PowerBlade wireless AC plug-through meters to measure real, reactive, and apparent power with load monitoring based on extracting high-fidelity electrical waveform features to capture power profiles and automatically identify and categorize MELs in a scalable manner.",Funding Opportunity,Active
Emerging Technologies,R&D - Sensors & Controls,PARC,Ultra-Low Swap CO2 Sensing for Demand Control Ventilation,Palo Alto,CA,37.441883,-122.143019,https://energy.gov/eere/buildings/downloads/ultra-low-swap-co2-sensing-demand-control-ventilation,"The team will integrate the developed sensing medium into PARC?s previously developed flexible hybrid electronics (FHE) peel-and-stick platform that measures humidity, temperature, light, strain, and gases such as carbon monoxide, methane, ammonia, and hydrogen sulfide at an anticipated cost of <$15/node at scale.",Funding Opportunity,Active
Emerging Technologies,R&D - Sensors & Controls,University of Virginia,Improving Energy Efficiency of Wireless Communication Circuitry in Miscellaneous Electric Loads,Charlottesville,VA,38.0293,-78.4767,https://energy.gov/eere/buildings/downloads/improving-energy-efficiency-wireless-communication-circuitry-miscellaneous,"As part of an ongoing effort to enhance low-power wireless communication, this project will develop a wireless connectivity module made of radio frequency (RF) hardware and systems software that enables RF connectivity at over 50% lower active power consumption for integration into MELs.",Funding Opportunity,Active
Commercial Buildings Integration,Technology & Systems Validation,"Steven Winter Associates, Inc.","A Systems Approach to Achieving Deep Heating Savings through Measurement, Management and Motivation",Washington,DC,38.907192,-77.036871,https://energy.gov/eere/buildings/downloads/systems-approach-achieving-deep-heating-savings-through-measurement,"This project will validate the heating and occupant-based savings in existing multifamily units using ?smart? and connected terminal unit controls, such as wireless thermostatic radiator valves, as part of an integrated energy management system.",Funding Opportunity,Active
Residential Buildings Integration,Technology & Systems Validation,Buildings Envelope Materials,Validation Study of Experimental Insulating and Air-Sealing Technology for Enclosed Roof Cavities,Lexington,MA,42.443037,-71.228964,https://energy.gov/eere/buildings/downloads/validation-study-experimental-insulating-and-air-sealing-technology,"The goal of this project is to develop a minimally invasive retrofit insulation technology for enclosed roof cavities such as cathedral ceilings, flat roofs, and dormer roofs.",Funding Opportunity,Active
Residential Buildings Integration,Technology & Systems Validation,University of Central Florida,Baseline Indoor Air Quality (IAQ) Field Study in Occupied New U.S. Homes: Hot-Humid and Mixed-Humid Climates,Orlando,FL,28.538336,-81.379236,https://energy.gov/eere/buildings/downloads/baseline-indoor-air-quality-iaq-field-study-occupied-new-us-homes-hot-humid,This project is part of a national study aimed at characterizing indoor air quality in occupied homes.,Funding Opportunity,Active
Residential Buildings Integration,"R&D - HVAC, Water Heating, and Appliances","Home Innovation Research Labs, Inc.",Advanced HVAC Equipment Design Strategies for Optimal Efficiency and Humidity Control,Upper Marlboro,MD,38.815947,-76.749691,https://energy.gov/eere/buildings/downloads/advanced-hvac-equipment-design-strategies-optimal-efficiency-and-humidity,"The purpose of this research is to develop and demonstrate an integrated humidity and ventilation control solution to improve indoor air quality, comfort, and energy performance for low-load homes in hot-humid and mixed-humid climates.",Funding Opportunity,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",United Technologies Research Center,High-Efficiency Low Global-Warming Potential (GWP) Packaged Rooftop System,East Hartford,CT,41.763422,-72.612834,https://energy.gov/eere/buildings/downloads/high-efficiency-low-global-warming-potential-gwp-packaged-rooftop-system,"United Technologies Research Center (UTRC) will develop and validate a high-efficiency, high-speed 5TR packed rooftop system that uses a sustainable, nonflammable, nontoxic and high-efficiency refrigerant.",Funding Opportunity,Active
