CID,Award_Type,FOA_Name,FOA_NodeID,Fiscal_Year_Awarded,Project_Title,Awardee,Recipient_Type,Program_Area,Subprogram_Node,MHK_Strategy_Challenge,MHK_Resource_Type,State,Region,Division,DOE_Funding_Amount,Project_Description,Status,Principal_Investigator,Technology_Area,Congressional_District,Project_Page
DE-EE0004571,Competitive Funding Opportunity Announcement,FY 2010 MHK Technology Readiness Advancement Initiative FOA,,2010,River Devices to Recover Energy with Advanced Materials (River DREAM),"Bayer MaterialScience, LLC",Industry,MHK System Design and Validation,/node/778176,Difficult Engineering,Current,PA,Middle Atlantic,Northeast,"$240,000 ","Bayer MaterialScience developed a new concept for hydroelectric energy generation from low-head water resources. Bayer has estimated 21,000 megawatts of existing low-head water resources in the United States, but these resources presently lack a technology to effectively harvest energy. The Bayer concept is low profile and largely non-invasive and is expected to leave rivers usable, aesthetically pleasing, and ecologically viable. The successful completion of the project resulted in the creation of a model able to fully define the operating parameters and performance capabilities of a generator based on the Galloping Hydroelectric Energy Extraction Device design. The resulting information will be used in the next phase of product development and to create an integrated laboratory-scale generator to confirm model predictions. The successful development of this new concept could help advance the MHK industry toward capturing low-head water resources in the United States.",Completed,,MHK,,/node/3563669
02.01.02.,Annual Operating Plan,FY 2014 AOP,,2014,Sandia National Laboratories Wave Energy Prize,Sandia National Laboratories,Laboratory,MHK System Design and Validation,,Difficult Engineering,Wave,NM,Mountain,West,"$652,500 ","In the nascent wave energy industry, funding is difficult to secure for performance testing and evaluation of wave energy converter (WEC) devices in wave tanks at a meaningful scale. This is a challenge for the industry, as scaled WEC prototype tank testing, validation, and evaluation are key steps toward advancing WEC technologies toward commercialization. To address research and development challenges and barriers, the Wave Energy Prize was launched. The Wave Energy Prize was a public prize challenge—funded by the U.S. Department of Energy’s (DOE's) Water Power Technologies Office—to advance WEC technology development. Sandia National Laboratories and project partners verified equitable testing methods that were used to evaluate competing technologies.",Active,"Neary, Vincent",MHK,,/node/2867971
DE-FC36-08GO18175 ,Competitive Funding Opportunity Announcement,FY 2008 Advanced Water Power Projects FOA,/node/315649,2008,Scenario-Based Assessment of Navigation and Environmental Effects of Wave and Tidal Technologies,"Re Vision Consulting, LLC",Industry,MHK Environmental Monitoring Instrumentation Research and Development,/node/778181,Barriers to Testing,Crosscutting,CA,Pacific,West,"$350,000 ","RE Vision Consulting accelerated the adoption of MHK energy technologies by studying siting issues and developing materials to help the industry site projects more efficiently. One of the key issues that project proponents face as they engage stakeholders is that many conflicting uses and environmental issues are not well-understood. Much of this lack of understanding comes from a limited understanding of the technologies themselves and their life-cycle impacts. A scenario-based approach was used to provide a solid understanding of the impacts these technologies will have in respect to navigation and environmental effects. The final product consists of three reports: (1) a wave energy deployment scenario report, (2) a tidal deployment scenario report, and (3) an environmental assessment framework report. The frameworks and representative scenarios developed provide an objective and transparent  tool for stakeholders, regulators, and developers to assist in the decision-making process for siting wave and tidal energy plants, and meet the goal of improving understanding between all stakeholders.",Completed,,MHK,,/node/3563684
DE-EE0002647,Competitive Funding Opportunity Announcement,FY 2009 Advanced Water Power FOA,,2009,SeaRAY Direct-Drive Wave Energy Buoy,"Columbia Power Technologies, Inc. ",Industry,MHK System Design and Validation,/node/778176,"Difficult Engineering, Harsh Environment",Wave,VA;WA,Multi-regional,Multi-regional,"$1,417,990 ","Columbia Power Technologies and its project partners completed a year-long deployment of a 7-ton intermediate-scale wave energy converter (WEC) called the SeaRAY to demonstrate and validate the technology in preparation for a full-scale ocean demonstration. The WEC technology was designed to capture energy through a highly reliable rotary approach, absorbing up to twice the energy for a given surface area compared to existing technologies. Columbia Power Technologies used data produced during the deployment to optimize its WEC technology and increase its energy capture.",Completed,,MHK,,/node/3376374
1.6.2.501 ,Annual Operating Plan,,,"2010, 2013",SECURE Water Act Section 9505 Assessment,Oak Ridge National Laboratory (ORNL),Laboratory,Hydro Optimization/Environmental Research and Analysis,,,,TN,East South Central,South,"$2,056,242 ","The U.S. Department of Energy was directed by Section 9505 of the SECURE Water Act of 2009 (Public Law 111-11) to submit a report to Congress on each effect of, and risk resulting from, global climate change with respect to: (1) water supplies used for hydroelectric power generation; and (2) power supplies marketed by each Federal Power Marketing Administration. To evaluate the potential effects on the 132 federal hydropower plants in the United States, ORNL designed a spatially consistent assessment approach to enable interregional comparisons. This approach uses a series of hyper-resolution meteorologic, hydrologic, and hydropower models to produce the most up-to-date understanding of long-term hydro-meteorological trends on future hydroelectric generation from federal facilities.",Active,,Hydropower,,/node/3746727
1.9.1.3 ,Annual Operating Plan,,,2017,Development of a Sensor Fish Mini to Support Hydropower Evaluations,Pacific Northwest National Laboratory,Laboratory,Hydro Optimization/Environmental Research and Analysis,,,,WA,Pacific,West,"$150,000 ","The objectives of this project are to commercialize the Sensor Fish technology to support hydropower development and evaluations and to develop a prototype of a smaller version (Sensor Fish mini) to characterize the growing need for sustainable small hydro and scale-turbine models. Pacific Northwest National Laboratory is redesigning the Sensor Fish instrument to create a smaller Sensor Fish Mini version to accommodate a wider range of users and provide critical in situ measurements and more types of turbine designs, in particular for small hydropower. It will directly support the development of hydropower technologies that feature enhanced environmental performance designs to increase electricity generation while reducing impacts to sensitive fish species. In addition, this project is focused on commercialization activities for the Sensor Fish hardware that was patented in 2015. A fully commercial Sensor Fish could be used to evaluate existing, refurbished, or newly installed hydro-turbines, auxiliary dam structures that fish interact with, and other water pathways fish utilize, and the resulting data can be used to improve conditions for fish.",Active,,Hydropower,,/node/3746961
2.3.0.502,Annual Operating Plan,,,2017,Shell PSH Membrane Design,Oak Ridge National Laboratory,Laboratory,PSH and Grid Reliability,,,,TN,East South Central,South,"$500,000 ",This funding supports the Hydro Battery Systems Catalog Development project.,Active,,Hydropower,,/node/3840730
DE-FC36-08GO18176 ,Competitive Funding Opportunity Announcement,FY 2008 Advanced Water Power Projects FOA,/node/315649,2008,Siting Protocol for Marine and Hydrokinetic Energy Projects,"Pacific Energy Ventures, LLC",Industry,MHK Environmental Monitoring Instrumentation Research and Development,/node/778181,Barriers to Testing,Crosscutting,OR,Pacific,West,"$949,780 ","Pacific Energy Ventures (PEV) developed siting protocols that facilitate market penetration of the emerging MHK industry by increasing consistency, predictability, and efficiency in project siting. The multidisciplinary team engaged public and private sector stakeholders in an iterative, collaborative process  to analyze and identify protocols for MHK siting. PEV captured the findings and results of this effort in a framework that explains and outlines permitting processes, synthesizes environmental information, and identifies key data gaps and options to address them (www.advancedh2opower.com/framework). The project findings have also been shared in formal reports, workshops, and conference presentations. In addition to providing clarity and guidance for project siting, the development of these protocols has helped foster collaboration and consensus-building among MHK stakeholders at large.",Completed,,MHK,,/node/3377417
DE-EE0002655,Competitive Funding Opportunity Announcement,FY 2009 Advanced Water Power FOA,,2009,Siting Study for a Hydrokinetic Energy Project Located Offshore Southeast Florida,"Dehlsen Associates, LLC ",Industry,MHK Environmental Monitoring Instrumentation Research and Development,/node/778181,Barriers to Testing,Current,CA;FL  ,Multi-regional,Multi-regional,"$600,000 ","Dehlsen Associates developed a siting study protocol and survey methodology for collecting baseline geophysical and benthic habitat data that can be used by MHK project developers and regulators to make initial project siting decisions that avoid or minimize adverse impacts to sensitive marine benthic habitat on the outer continental shelf off the coast of southeast Florida. The approach will help facilitate the licensing process for hydrokinetic and other ocean renewable energy projects within the study area and will assist in clarifying the baseline environmental data requirements, as well as reduce the time, effort, and cost to site and permit future MHK facilities offshore of southeast Florida.",Completed,,MHK,,/node/3499268
DE-EE0005427,Competitive Funding Opportunity Announcement,Advanced Hydropower Technology Development FOA,,2011,Small Hydropower Research and Development Technology Project,Near Space Systems,Industry,New Hydro Development,/node/778156,,,CO,,,"$300,000 ","Near Space Systems developed modular designs for new hydropower turbines to harness energy from outlet pipes, incorporating a novel generator design.",Completed,,Hydropower,CO-5,/node/3564278
DE-EE0005413,Competitive Funding Opportunity Announcement,Advanced Hydropower Technology Development FOA,,2011,South Fork Powerhouse Project,Sacramento Municipal Utility District,State/Local/Tribal Government,New Hydro Development,/node/778156,,,CA,,,"$1,494,750 ","Many hydropower projects and their reservoirs are multipurpose in nature, providing non-energy benefits such as navigation, flood control, recreation, and water supply. To support environmental quality and recreational boating, Sacramento Municipal Utility District plans to use power tunnels in a novel siting approach to develop a small powerhouse downstream from the Slab Creek Dam in order to utilize the increased minimum flows required during relicensing.",Active,,Hydropower,CA-5,/node/2787110
DE-EE0000319,Congressionally Directed Project,FY 2009 CDP,,2009,Southeast National Marine Renewable Energy Center,Florida Atlantic University,University,MHK System Design and Validation,/node/778176,"Difficult Engineering, Harsh Environment, Barriers to Testing",Current,FL,South Atlantic,South,"$1,189,375 ","Florida Atlantic University is home to the Southeast National Marine Renewable Energy Center (SNMREC), a national open-ocean energy laboratory that advances research on the renewable energy resources of open-ocean current systems and ocean thermal energy conversion. SNMREC is building the capability, infrastructure, and strategic partnerships needed for testing hydrokinetic energy generation prototypes and related technologies in the open ocean. In the future, commercial-scale deployments of such systems, with the potential to provide significant baseload power, will depend critically on standardized testing procedures in the real-world operating environment. SNMREC works to identify, develop, and test open-ocean current systems to meet this need. SNMREC focuses on: (1) technology testing and resource monitoring; (2) research on technological approaches to detection and mitigation of potential underwater collisions through the use of acoustic and video monitoring, underwater observatory technology, scale-model testing, and other methods; (3) environmental monitoring, demonstration, and protocol enhancement; (4) development of an environmental assessment plan; and (5) education and public outreach. Research and development activities support multiscale field testing of prototype generating systems and bridge the gap between basic science and commercialization of innovative open-ocean current systems that can generate significant amounts of clean, renewable ocean power.",Completed,,MHK,,/node/2663522
DE-EE0000319,Congressionally Directed Project,FY 2010 CDP,,2010,Southeast National Marine Renewable Energy Center,Florida Atlantic University,University,MHK System Design and Validation,/node/778176,"Difficult Engineering, Harsh Environment, Barriers to Testing",Current,FL,South Atlantic,South,"$2,000,000 ","Florida Atlantic University is home to the Southeast National Marine Renewable Energy Center (SNMREC), a national open-ocean energy laboratory that advances research on the renewable energy resources of open-ocean current systems and ocean thermal energy conversion. SNMREC is building the capability, infrastructure, and strategic partnerships needed for testing hydrokinetic energy generation prototypes and related technologies in the open ocean. In the future, commercial-scale deployments of such systems, with the potential to provide significant baseload power, will depend critically on standardized testing procedures in the real-world operating environment. SNMREC works to identify, develop, and test open-ocean current systems to meet this need. SNMREC focuses on: (1) technology testing and resource monitoring; (2) research on technological approaches to detection and mitigation of potential underwater collisions through the use of acoustic and video monitoring, underwater observatory technology, scale-model testing, and other methods; (3) environmental monitoring, demonstration, and protocol enhancement; (4) development of an environmental assessment plan; and (5) education and public outreach. Research and development activities support multiscale field testing of prototype generating systems and bridge the gap between basic science and commercialization of innovative open-ocean current systems that can generate significant amounts of clean, renewable ocean power.",Completed,,MHK,,/node/2663522
DE-EE0004200,Competitive Funding Opportunity Announcement,FY 2008 Advanced Water Power Projects FOA,/node/315649,2008,Southeast National Marine Renewable Energy Center,Florida Atlantic University,University,MHK System Design and Validation,/node/778176,"Difficult Engineering, Harsh Environment, Barriers to Testing",Current,FL,South Atlantic,South,"$2,000,000 ","Florida Atlantic University is home to the Southeast National Marine Renewable Energy Center (SNMREC), a national open-ocean energy laboratory that advances research on the renewable energy resources of open-ocean current systems and ocean thermal energy conversion. SNMREC is building the capability, infrastructure, and strategic partnerships needed for testing hydrokinetic energy generation prototypes and related technologies in the open ocean. In the future, commercial-scale deployments of such systems, with the potential to provide significant baseload power, will depend critically on standardized testing procedures in the real-world operating environment. SNMREC works to identify, develop, and test open-ocean current systems   to meet this need. SNMREC focuses on: (1) technology testing and resource monitoring; (2) research on technological approaches to detection and mitigation of potential underwater collisions through the use of acoustic and video monitoring, underwater observatory technology, scale-model testing, and other methods; (3) environmental monitoring, demonstration, and protocol enhancement; (4) development of an environmental assessment plan; and (5) education and public outreach. Research and development activities support multiscale field testing of prototype generating systems and bridge the gap between basic science and commercialization of innovative open-ocean current systems that can generate significant amounts of clean, renewable ocean power.",Active,,MHK,,/node/2663522
02.01.02.,Annual Operating Plan,FY 2014 AOP,,2014,System Performance Advancement I and II: Supporting HQ Evaluation of Awardee Technical Progress in Controls and Structures,Sandia National Laboratories,Laboratory,MHK System Design and Validation,,Difficult Engineering,Crosscutting,NM,Mountain,West,"$1,390,000 ","Sandia National Laboratories (SNL) will coordinate with the U.S. Department of Energy (DOE) and its funding opportunity awardees to identify areas requiring support in the awardees' advancement of their component technologies. The goal is to significantly improve marine and hydrokinetic (MHK) system levelized cost of energy through lower capital expenditures, lower operating and maintenance costs, and improvements in energy production. The objective of this project is to improve the cost-competitiveness of systems already in development by advancing the technology performance of these systems. ",Active,"Griffith, Todd",MHK,,/node/2996513
02.02.02.,Annual Operating Plan,,,2016,Standard Modular Hydropower Technology Acceleration,Oak Ridge National Laboratory,Laboratory,New Hydro Development,,,,TN,,,"$2,836,238 ","Oak Ridge National Laboratory researchers, project partners, and hydropower technology stakeholders will conduct this early-stage research to define design parameters for a new class of hydropower technology that reduces cost, with a smaller physical and environmental footprint. This new technology will be standard—meaning its geometry, local hydraulics, aesthetics, cost structure, and other salient design features are site-independent, with limited environmental impacts. It will also be modular—meaning that capacity and function can be scaled to a site through deployment of multiple components that are designed to integrate with minimum cost and maximum value.",Active,"Smith, Brennan",Hydropower,TN-5,/node/2423580
DE-EE0007826,Competitive Funding Opportunity Announcement,FY 2016 Marine and Hydrokinetic Energy Conversion and Environmental Monitoring Technology Advancement,,2016,Standardized and Cost-Effective Benthic Habitat Mapping and Monitoring Tools for Marine and Hydrokinetic Environmental Assessments,"Integral Consulting, Inc.",Industry,MHK Environmental Monitoring Instrumentation Research and Development,,Barriers to Testing,Crosscutting,WA,Pacific,West,"$684,431 ","Integral Consulting, Inc., along with its partners, is developing new seafloor imaging and sampling technologies and automated software tools to efficiently develop detailed and relevant maps of benthic habitats, which are the ocean floor and sediment zones. Project developers are working on tools focused on integrating sediment images and acoustic survey data from an established but not widely-utilized imaging tool with well-established geophysical tools.",Active,,MHK,,/node/3585584
02.01.08.,Annual Operating Plan,FY 2016 AOP,,2016,"Standards Development, International Electrotechnical Commission TC 114, IEA Ocean Energy Systems Annual Contribution",National Renewable Energy Laboratory,Laboratory,MHK System Design and Validation,,"Difficult Engineering, Harsh Environment",Crosscutting,CO,Mountain,West,"$5,427,700 ","This effort enables the United States to contribute to advancing marine and hydrokinetic (MHK) standards under the International Electrotechnical Commission (IEC) Technical Committee (TC) 114 and ensure that U.S. interests are protected. The end goal is to develop new standards that facilitate more rapid and reliable deployment of MHK devices, while considering the unique environmental and regulatory requirements that govern deployment in U.S. waters. ",Active,"Musial, Walt",MHK,,/node/3184038
DE-EE0005930,Competitive Funding Opportunity Announcement,FY 2010 MHK Technology Readiness Advancement Initiative FOA,,2013,StingRAY Direct-Drive Wave Energy Buoy,"Columbia Power Technologies, Inc. ",Industry,MHK System Design and Validation,/node/778176,"Difficult Engineering, Harsh Environment",Wave,VA;WA,Multi-regional,Multi-regional,"$1,500,000 ","Columbia Power Technologies is designing a small-scale wave energy converter called the StingRAY, which has directionally dependent device weathervanes to face into oncoming waves using a single mooring line. The design uses fore and aft floats that move independently and are attached to separate drive shafts, each of which is connected to a direct-drive, permanent-magnet generator. The direct-drive design creates a maintenance advantage by removing the need for gearboxes or hydraulics. The asymmetrical fore and aft float geometry design allows for float hard-stop capabilities during extreme events and will decrease costs by $400,000 per unit. The levelized cost of electricity is projected to improve by 60% to $0.13 per kilowatt hour.",Completed,,MHK,,/node/3376514
DE-EE0002654,Competitive Funding Opportunity Announcement,FY 2009 Advanced Water Power FOA,,2009,"Study of the Acoustic Effects of Hydrokinetic Tidal Turbines in Admiralty Inlet, Puget Sound ",Snohomish County Public Utility District #1,State/Local/Tribal Government,MHK Environmental Monitoring Instrumentation Research and Development,/node/778181,Barriers to Testing,Current,WA,Pacific,West,"$522,550 ","Snohomish County Public Utility District #1 (District), and its partners determined the acoustic impacts of hydrokinetic turbines operating in Admiralty Inlet, Washington, which is the site selected for the District's Puget Sound Tidal Energy Demonstration Project where two OpenHydro Group Ltd. turbines will be installed off Admiralty Head. The pilot project provided both operational experience with the devices and the opportunity to monitor the site for any effects on the marine environment. To study acoustic impacts, this project employed complementary long-term measurements to characterize how aquatic species use Admiralty Inlet and deployed both in-water testing and laboratory studies to investigate how noise from a turbine could affect aquatic species. The study's results will provide regulatory agencies, tribes, and public stakeholders with continuous long-term monitoring of aquatic species within the project area and a new understanding of how species could be affected by the operation of the District's pilot project. In addition to assessing acoustic effects, the collected and interpreted information about aquatic species has helped to establish a baseline for assessing other possible project impacts for example, interference with migration. As such, the methodologies developed under this project will be broadly applicable to hydrokinetic energy projects across the United States and worldwide.",Completed,,MHK,,/node/3446859
DE-EE0004567,Competitive Funding Opportunity Announcement,FY 2010 MHK Technology Readiness Advancement Initiative FOA,,2010,Submersible Generator for Hydrokinetics,"Free Flow Energy, Inc.",Industry,MHK System Design and Validation,/node/778176,Difficult Engineering,Current,NH,New England,Northeast,"$160,000 ","Free Flow Energy designed a submersible generator as a separate critical subassembly optimized for MHK conditions and intended to couple with different turbine styles. For most existing large electromechanical assemblies found in manufacturing, industry, or renewable energy systems (such as wind), the generator is a separate and critical subassembly not typically designed into the rotating turbine. Free Flow Energy designed and optimized a generator for use in a range of MHK systems and turbine styles that can be applied by MHK system designers into a complete system, including the turbine, ducting, and supporting structure. This project brought together experienced motor/generator design professionals with leading U.S. academic researchers in the field of motor/generator design and leading U.S. component suppliers to design a generator specifically for the application and acceleration of current and tidal energy.",Completed,,MHK,,/node/3563711
DE-EE0007346,Competitive Funding Opportunity Announcement,FY 2015 Next-Generation Marine Energy Systems—Durability and Survivability,/node/1052046,2015,Survivability Enhancement of a Multi-Mode Point Absorber,"Oscilla Power, Inc.",Industry,MHK System Design and Validation,/node/778176,"Difficult Engineering, Harsh Environment",Wave,WA;OR;CA,Pacific,West,"$599,916 ","This project aims to reduce the cost of survivability—which can be defined as structural overdesign, in terms of the weight or quantity of architectural materials, intended to protect a device during extreme conditions—for Oscilla Power’s Triton wave energy converter (WEC), resulting in reduced project risk and a lower levelized cost of energy. Oscilla Power’s Triton WEC is a two-body point absorber consisting of a surface float connected by flexible tethers to a submerged heave plate. Flexible tethers have not previously been used for WECs due to concerns with sudden extreme tension during extreme events, or snap loading. This project aims to mitigate the risk of component, tether, and system failures in extreme events by developing and optimizing survival configurations for the Triton WEC. The technology developed in this project will be cost-competitive with conventional power sources in several regions around the world, including in Hawaii and Alaska. ",Active,,MHK,,/node/2996405
DE-EE0007175,Competitive Funding Opportunity Announcement,FY 2015 Marine and Hydrokinetic Systems Performance Advancement II (SPA II): Component Metric Validation,/node/1004541,2015,System-Agnostic Switched Reluctance Linear Generator for Wave Energy Converters,Dehlsen Associates LLC ,Industry,MHK System Design and Validation,/node/778176,Difficult Engineering,Current,CA,Pacific,West,"$2,100,000 ","Dehlsen Associates LLC will optimize Wedge Global’s Multi-Translator Linear Switched Reluctance Machine technology by integrating their Model Predictive Controls and full-power electronics to significantly improve mean power. Dehlsen will design, build, and test a full-scale power take-off (PTO) module that will demonstrate a 68% improvement in the component rating per unit cost. ",Active,,MHK,,/node/2663482
DE-EE0002671,Competitive Funding Opportunity Announcement,Recovery Act: Hydroelectric Facility Modernization FOA,/node/778161,2009,Tapoco Project: Cheoah Upgrade,"Alcoa, Inc.",Industry,Hydro Other,/node/778156,,,PA;NC,,,"$12,174,956 ","Alcoa Power Generating Incorporated, a fully owned subsidiary of Alcoa Incorporated, implemented major upgrades at its Cheoah hydroelectric facility near Robbinsville, North Carolina. The upgrades included the installation of two new high-efficiency turbines, generators, and transformers, as well as improvements to the balance-of-plant equipment and preparation work for the installation of two additional units. The two-year project increased site-wide generation by 47,200 megawatt hours annually. Completion of the full five-unit modification resulted in a nearly 50% increase in generating capacity from 88 megawatts (MW) to 110 MW and added 40 to 50 years to the facility's expected lifespan without requiring modifications to the dam.",Completed,,Hydropower,PA-2;NC-5,/node/3447509
DE-EE0007828,Competitive Funding Opportunity Announcement,FY 2016 Marine and Hydrokinetic Energy Conversion and Environmental Monitoring Technology Advancement,,2016,Technical Performance and Cost Optimization of Unobtrusive Multi-Static Serial LiDAR Imager for Wide-Area Surveillance and Identification of Marine Life at Marine and Hydrokinetic Installations,Florida Atlantic University,University,MHK Environmental Monitoring Instrumentation Research and Development,,Barriers to Testing,Crosscutting,FL,South Atlantic,South,"$850,000 ","Florida Atlantic University is developing and testing a light-detecting and ranging (LiDAR) monitoring system, the Unobtrusive Multi-Static Serial LiDAR Imager (UMSLI). The UMSLI provides automated tracking and classification of animals near marine energy equipment, notifies researchers when animals are present, and provides high-resolution imagery of their behavior to help evaluate marine organism response to marine energy technologies. This is the second stage of the overall project, to further develop the LiDAR monitoring system and improve its capabilities.",Active,,MHK,,/node/3791739
,Annual Operating Plan,FY 2016 AOP,,2016,Testing Facilities and Capabilities at NWTC,National Renewable Energy Laboratory,Laboratory,MHK Testing Infrastructure,,Barriers to Testing,Crosscutting,CO,Mountain,West,"$400,000 ","This project involves upgrading and other support for the National Renewable Energy Laboratory’s (NREL’s) National Wind Technology Center (NWTC) dynamometers and NREL’s marine and hydrokinetic (MHK) instrumentation laboratory. The NWTC dynamometers provide state-of-the-art testing of MHK machines with the ability to provide simulated wave power input while testing grid integration. The instrumentation laboratory provides various MHK capabilities, including a multi-channel monitoring system that can acquire and store high-resolution field data from wave and tidal energy converters during at-sea deployments. The updated system has been tested on a wave energy converter (WEC) device at Kaneohe Bay, Hawaii, where it has successfully collected high-fidelity data to support improvements in device design.",Active,,MHK,,/node/3039284
02.01.03.,Annual Operating Plan,FY 2015 AOP,,2015,Testing Facilities and Capabilities at NWTC ,National Renewable Energy Laboratory,Laboratory,MHK Testing Infrastructure,,Barriers to Testing,Crosscutting,CO,Mountain,West,"$1,674,377 ","The project objective is to test a complete instrumentation system dedicated to high resolution field testing and data acquisition on wave and tidal energy converters in the U.S. The system will be used to support field measurements and testing through DOE technology partnerships and, possibly, through approved loans to device developers and testing facilities. MOIS will be deployed on the WET-NZ wave energy converter device at Kaneohe Bay, Hawaii, to test the improved system at sea and collect high fidelity data to support DOE objectives and support industry.",Active,"Nelson, Eric",MHK,,
DE-EE0007248,Competitive Funding Opportunity Announcement,Research and Development of Innovative Technologies for Low Impact Hydropower Development,,2015,The Design and Development of a Composite Hydropower Turbine Runner,"Composite Technology Development, Inc.",Industry,New Hydro Development,,,,NM,Mountain,West,"$1,025,000 ","Composite Technology Development, Inc. (CTD) will verify that composite materials are a reliable and economic alternative to traditional turbine materials that can provide designers with new options that reduce operating costs and increase energy capture over the lifetime of the system. CTD will replicate a Voith steel bulb turbine using erosion-resistant resin systems and coatings that are specifically designed to reduce cavitation-induced wear. Cavitation is a phenomenon that affects hydropower turbines when, under certain operation conditions, vapor bubbles form and collapse due to rapid pressure changes in the water as it moves through the turbine. When the vapor bubbles collapse, they generate shock waves that create pits on the metal surface. Damages caused by cavitation include erosion of material from turbine parts, distortion of blade angle, and loss of efficiency due to erosion/distortion. Cavitation damage is usually the most costly maintenance activity on a hydropower turbine because of the unexpected shutdowns and unplanned maintenance required for repairs.",Active,,Hydropower,,/node/3928235
DE-EE0003633,Competitive Funding Opportunity Announcement,FY 2010 MHK Technology Readiness Advancement Initiative FOA,,2010,"The Development of Open, Water-Lubricated Polycrystalline Diamond Thrust Bearings for Use in Marine Hydrokinetic (MHK) Energy Machines",US Synthetic Corporation,Industry,MHK System Design and Validation,/node/778176,Harsh Environment,Crosscutting,UT,Mountain,West,"$146,984 ","US Synthetic Corporation provided a new bearing technology to MHK machines to reduce operating costs, improve reliability, and reduce power loss. Polycrystalline Diamond (PCD) thrust bearings have been successfully used in oil and gas devices for many years. PCD advantages are the ability to operate in the open without seals using abrasive liquids (e.g., such as drilling fluid) as a lubricant. In addition, they can withstand the rigors of severe load variation    and lubricant contamination. A hydrokinetic energy machine with water-lubricated PCD bearings would reduce maintenance costs and improve reliability over equivalent machines using conventional bearings. In addition, PCD bearings without lubricants other than the water itself reduce the danger of polluting a marine environment. This project used advanced analytical tools for the initial design of thrust bearings for use in a conceptual water turbine; built and tested the bearings in the US Synthetic bearing test facility; and compared the measured bearing performance with the design predictions. Finally, design protocols based on both experimental results and analytical models were developed, permitting the design of a thrust bearing for any desirable size and length of time. At the conclusion of this project, two sets of sample test bearings were supplied to qualified MHK developers free of charge.",Completed,,MHK,,/node/3563756
DE-EE0006518,Competitive Funding Opportunity Announcement,FY 2013 MHK (Wave) Testing Infrastructure Development,,2013,The Pacific Marine Energy Center South Energy Test Site,Oregon State University,University,MHK Testing Infrastructure,/node/778176,Barriers to Testing,Wave,OR,Pacific,West,"$2,250,000 ","In conjunction with other research and testing activities, Oregon State University (OSU) is developing the Pacific Marine Energy Center—South Energy Test Site (PMEC-SETS), a grid-connected test facility, to evaluate wave energy conversion device performance, including performance within small arrays, environmental interactions, operations and maintenance, and survivability. OSU selected a site approximately 6 nautical miles off the coast of Newport Oregon that met expected requirements for full-scale wave energy devices, with an annual average wave power density requirement of greater than 30 kilowatts per meter and a depth of at least 50 meters.",Active,,MHK,,/node/2647248
DE-EE0002653,Competitive Funding Opportunity Announcement,FY 2009 Advanced Water Power FOA,,2009,The Potential Impacts of OTEC Intakes on Aquatic Organisms at an OTEC Site Currently Under Development,"Ocean Engineering and Energy Systems International, Inc.",Industry,MHK Environmental Monitoring Instrumentation Research and Development,/node/778181,Barriers to Testing,OTEC,HI,Pacific,West,"$594,961 ","Ocean Engineering and Energy Systems International and industry partners conducted a project to evaluate the potential impacts of an ocean thermal energy conversion (OTEC) facility's intakes on the island of Kauai, Hawaii. Such work will be required for licensing of OTEC facilities under the OTEC Act of 1980 (administered by the National Oceanic and Atmospheric Administration). The site-specific data generated during the project will be valuable to  the industry for designing OTEC facilities with minimal impact to aquatic organisms. Further, the data generated for this site should be readily transferable to other OTEC sites under development, thus facilitating the development and deployment of future OTEC facilities in an effective and environmentally responsible manner.",Completed,,MHK,,/node/3459689
2.2.5.0.50,Annual Operating Plan,,,2018,The Third SWA 9505 Assessment,Oak Ridge National Laboratory,Laboratory,Hydro Optimization/Environmental Research and Analysis,,,,TN,East South Central,South,"$1,000 ",This funding supports the SECURE Water Act Section 9505 Assessment project.,Active,,Hydropower,,/node/3746727
DE-EE0002652,Competitive Funding Opportunity Announcement,FY 2009 Advanced Water Power FOA,,2009,The Water-To-Wire Project,Free Flow Power Corporation,Industry,MHK System Design and Validation,/node/778176,"Difficult Engineering, Harsh Environment",Current,LA,West South Central,South,"$1,384,503 ","The Free Flow Power (FFP) Water-to-Wire project evaluated and optimized the performance, environment, and cost factors of FFP hydrokinetic SmarTurbines through design analyses and Mississippi River deployments. Specific objectives included: (1) design, fabrication, and testing of a full-scale prototype turbine endpoint: functional generating hardware; (2) in-river deployment and testing of the full-scale prototype turbine endpoint: test   data demonstrating performance, river environment, and resource potential; and (3) design and analyses for the commercial-scale infrastructure and sites endpoint: refined cost and design for complete array systems to provide launch point for next-level deployments. The challenges included: (1) a  lack of commercially operating hydrokinetic river systems in existence so uncertainty exists about the equipment performance in a relevant environment; (2) commercial cost of capital and operation and maintenance for practical systems; and (3) the generation from the available resource that is practically achievable. The project results provide a pathway and supporting data and demonstration results for FFP and all hydrokinetic developers to address the design and cost challenges associated with turbine siting, installation, and maintenance.",Completed,,MHK,,/node/3376941
