Project_Title,Awardees,CID,SUBPROGRAM,SUBPROGRAM_NODE,Award_Type,FOA_NAME,FOA_Acronym,Status,Award_Start_Date,Total_Government_Share,City,State,Zip_Code,Node,Latitude,Longitude,Principal_Investigator,Project_Description
Module-Integrated Power Converters Based on Universal Dock,SolarBridge Technologies,EE0005341,Systems Integration,node/791071,Funding Opportunity,Solar Electric Grid Integration &ndash; Advanced Concepts,SEGIS-AC,Inactive,2011,"$1,741,801 ",Austin,TX,78758-7504,"node/1069056",32.552483,-98.370042,Patrick Chapman,"This project, led by SolarBridge Technologies, is developing an innovative alternating-current photovoltaic (ACPV) module that consists of an integrated ""Universal PV-Dock"" and a high-reliability, low-cost, high-efficiency microinverter to substantially reduce balance of system (BOS) costs in residential and commercial PV systems. In 2011, the Universal PV Interface (UPVI) Alliance was formed as an open, membership-based, not-for-profit industry association to develop, certify, and promote a standard interface between PV modules and various forms of module-level electronic devices, including power optimizers, microinverters, and junction boxes."
Developing Modules for High Volume Manufacturing,Solaria Corporation,,Technology to Market,node/928446,Funding Opportunity,Incubator 1,Incubator 1,Inactive,2007,"$1,389,206 ",Fremont,CA,94555,node/791021,37.567768,-122.052218,,"Solaria was producing a non-tracking, cost-effective, standard module form factor with 2-3x concentration that can be manufactured in a reliable high-volume automated process that is based on a reliable PV-multiplying process that yields two to three highly efficient cells from one via solar cell singulation and optical amplification."
Development of Manufacturing Technology to Accelerate Cost Reduction of Low Concentration Photovoltaic Modules,Solaria Corporation,EE0006356,Technology to Market,node/928446,Funding Opportunity,Solar Manufacturing Technology,SolarMat,Inactive,2013,"$2,007,474 ",Fremont,CA,94555,node/791061,37.567768,-122.052218,Adam Detrick,The goal of this project is to cut costs for Solaria's low-concentration silicon PV module by automating a number of manufacturing process steps including the stringing and tabbing step that is used to assemble and align the c-Si strips that are placed under a lensing glass top sheet. This removes a primary barrier to enable Solaria to undertake high-volume PV module manufacturing in the United States.
Development of 800&deg;C Integrated Flow Channel Ceramic Receiver,SolarReserve,EE0007113,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power: Advanced Projects Offering Low LCOE Opportunities,CSP APOLLO,Active,2015,"$2,357,159 ",Santa Monica,CA,90404-4070,node/1332666,34.02875,-118.471797,David Wait,"This project is developing a concept for creating affordable, compact, and lightweight receiver panels capable of heating air, carbon dioxide, molten salts, or other corrosive and oxidizing fluids to 750&deg; Celsius, which is 185&deg; Celsius hotter than current receiver design through the use of commercially available silicon carbide ceramics. SolarReserve is also partnering with University of California San Diego to utilize its solar selective coating, which provides greater solar absorptivity, lower infrared emissivity, and can withstand higher temperatures than current state-of-the-art coatings."
Re-Designing the Consentrating Solar Power Thermal Energy Storage System to Enable Higher Temperature Performance at Reduced Cost,SolarReserve,EE0008141,Technology to Market,node/928446,Funding Opportunity,Technology to Market Technology to Market 3,T2M3,Active,2017,"$2,000,000 ",Santa Monica,CA,90401-2420,node/3029201,34.012638,-118.495155,William Gould,"SolarReserve is working with the National Renewable Energy Laboratory and others to develop designs that will eliminate the need for expensive alloys and lower costs in today's hot tanks operating at 565o to 580o Celsius and in tomorrow's systems that will use a much higher operating temperature. The research will reduce costs in two ways. First, the introduction of internal insulation within the tank will reduce the temperature of the steel pressure boundary enabling designers to use less expensive alloys. This internal insulation may take the form of ceramic or metallic materials and structures and may take advantage of the inherently low thermal conductivity of a layer of stagnant salt adjacent to the pressure boundary. The second aspect of the work consists of relocating the salt pumps from their present position, suspended above the roof of the tanks on expensive platforms cantilevered from nearby building steel, to a point at or below grade. In their new location, the pumps and the required supporting structures will be much cheaper and more conventional."
Behind-The-Meter PV Data and Distribution Grid Analytics for High-Penetration Solar,SolarRetina,EE0007186,Technology to Market,node/928446,Funding Opportunity,"SunShot Technology to Market: Incubator 10, SolarMat 3, SunPath 2",Incubator 10,Inactive,2015,"$499,894 ",Washington,DC,20001-5196,node/1382316,38.912068,-77.019023,Mark Handschy,"SolarRetina will fill the information gap and provide distribution grid planners with the certainty they need to integrate large amounts of solar by developing a beta version of the SolarRetina, a tool that provides on-demand, evidence-based analysis of the grid impacts of distributed solar derived from real-life, real-time solar generation data crowd-sourced from customer-sited solar installations. Working with distribution grid planning partners, they will build a commercially-ready beta version of the SolarRetina that will automatically acquire and integrate high-resolution solar data from a network of solar sites, and using that data, will provide superior analysis of the impacts and effects of distributed solar on their partners' distribution grids. The analysis will provide the precision, realism, and comfort that distribution planners need to remove technical and institutional barriers to ubiquitous deployment. "
Efficient Solar Market Partners of Northern California,SolarTech,EE0005685,Soft Costs,node/791371,Funding Opportunity,Rooftop Solar Challenge,Rooftop Solar Challenge,Inactive,2012,"$499,898 ",San Jose,CA,95134-2127,node/791726,37.43085,-121.952999,David McFeely,"The Solar Tech Consortium will enable adoption of improved policies and processes by up to seven local governments and utilities through the creation of ""Early Adopter"" pilot communities and the development of tools and model ordinances. "
Solar3.0 &ndash; A National Platform for Process Innovation,SolarTech,EE0005348,Soft Costs,node/791083,Funding Opportunity,Solar Projects to Reduce Market Barriers and Non-Hardware Balance of System Costs,Soft Bos,Inactive,2011,"$1,742,798 ",San Jose,CA,95126-3449,node/791731,37.329012,-121.916021,Marianne Walpert,"Develop a scalable national platform to develop model codes, standards, rules, and processes that will enable reduced time frames for PV installations and deployment at lower cost."
Device Architecture Simplification of Laser Patterning In High-Volume Crystalline Silicon Solar Cell,SolarWorld Industries America,EE0005313,Photovoltaics,node/790881,Funding Opportunity,Foundational Program to Advance Cell Efficiency,F-PACE,Inactive,2011,"$4,636,633 ",HILLSBORO,OR,97124-5768,node/790971,45.522894,-122.989827,Guenther Mueller,"This comprehensive project team is researching the use of laser processing techniques to develop advanced device architectures leading to thin-silicon PV cells with higher efficiencies. The team aims to achieve efficiencies above 20% via a simplified hybrid metal-wrap-through (MWT) and laser-fired-contact (LFC) solar cell design built on ultra-thin, n-type mono-crystalline silicon substrates and employing a co-extrusion front and rear metallization scheme. The end result will be a vetted engineering design for a pilot tool capable of a high-degree of process uniformity at volume manufacturing throughput rates."
Highly Automated Module Production Utilizing Advanced Light Management,SolarWorld Industries America,EE0006358,Technology to Market,node/791123,Funding Opportunity,Solar Manufacturing Technology,SolarMat ,Inactive,2013,"$2,438,126 ",Hillsboro,OR,97124-5768,node/791061,45.522894,-122.989827,Michael Perelli-Minetti,"SolarWorld will incorporate an advanced light management system into their PV modules that will achieve substantial efficiency improvements at little additional cost. The light management system reduces optical losses and represents a large, unrealized opportunity for module efficiency improvements. The proposed SolarWorld approach cost-effectively utilizes low-cost components implemented using highly automated robotic systems."
Neogrowth Silicon: Us Manufacturing of Solar Wafers,SolarWorld Industries America,EE0006806,Technology to Market,node/791123,Funding Opportunity,,SolarMat 2,Inactive,2014,"$4,000,000 ",Hillsboro,OR,97124-5768,node/973806,45.522894,-122.989827,Nathan Stoddard,"SolarWorld will develop a silicon ingot growth technology to enable cost-competitive domestic manufactured silicon wafers for PV modules. This award transitions SolarWorld's proprietary NeoGrowth (NGM) bulk crystal growth technique from the pilot phase and into early-stage production. Wafers will be single crystalline with very high minority carrier lifetime, low oxygen and excellent mechanical properties. At the end of the project, the NeoGrowth process will be implemented at up to 300 megawatt production capacity, producing wafers at a cost that competes favorably with wafers on the open market."
The SunGarden: DIY Solar for Widespread Solar,SolarWorld Industries America,EE0007596,Technology to Market,node/928446,Funding Opportunity,"Technology to Market 2: Incubator 11, SolarMat 4",Incubator 11,Inactive,2016,"$486,432 ",Hillsboro,OR,97124-5768,node/2039962,45.522894,-122.989827,Beryl Weinshenker,"This project integrates all major solar components &ndash; the module, inverter, and racking &ndash; into a single unit. This new product will utilize laminates by placing them in a platform rather than in the typical aluminum frame. This project could open up photovoltaic (PV) installation to new market segments and truly enable do-it-yourself solar."
Novel Solar Cell Design using Nanocoax Structure,Solasta,,Technology to Market,node/928446,Funding Opportunity,Incubator 2,Incubator 2,Inactive,2008,"$2,721,564 ",Newton,MA,2458,node/791022,42.350384,-71.18644,,"Solasta was working on a novel cell design based on an amorphous-silicon ""nanocoax"" structure that increases currents and lowers the materials cost by collecting light normal to the substrate (thick section) and transferring collected carriers laterally (thin section), effectively decoupling the optical and electronic pathways. Although the absorber material for this project was amorphous silicon, the technology is material non-specific, and further advances in efficiency and reductions in cost can be envisioned."
"Development and Productization of High-Efficiency, Low-Cost Building-Integrated Photovoltaic Shingles Using Monocrystalline Silicon Thin Film Solar Cells",Solexel,EE0005436,Systems Integration,node/791071,Funding Opportunity,Extreme Balance of System Hardware Cost Reduction,Bos-X,Inactive,2011,"$7,200,000 ",Milpitas,CA,95035-7405,node/1074216,37.432334,-121.899574,Moslehi Mehrdad,"Solexel aims to design and demonstrate complete PV systems with an installed price to the consumer of less than $2.00 per watt with no subsidies.  The price goal is inclusive of hard costs; PV & BOS hardware, and soft costs; labor, permitting, engineering services, and profit margins.  Solexel has taken a holistic approach to reaching the project goals.  We are using our unique, high efficiency thin crystalline silicon solar cell technology to enable a range of PV packaging options compatible with all major residential roofing types in the US market.  We are also leveraging the cell technology to substantially reduce BOS costs and simplify installation and permitting requirements.  Upon commercialization, the consumer will have access to a rich product portfolio combining low cost, high energy yield, pleasing aesthetics, enhanced safety and 25 year field durability.  "
"Productization and Manufacturing Scaling of High-Efficiency Solar Cell and Module Products Based on a Disruptive Low-Cost, Mono-Crystalline Technology",Solexel,NREL/SR-5200-55733,Technology to Market,node/928446,Funding Opportunity,Incubator 2,Incubator 2,Inactive,2008,"$3,000,000 ",Milpitas,CA,95035,node/791022,37.432334,-121.899574,Homi Fatemi,"Solexel is commercializing a disruptive, 3D high-efficiency mono-crystalline silicon cell technology that dramatically reduces manufacturing cost per watt by delivering a 15-17% efficient, 156x156mm2, single-crystal cell that consumes substantially lower silicon per watt than conventionally sliced wafers. "
"Reflective Optics CPV Panels
 Enabling Large Scale, Reliable
 Generation of Solar Energy Cost Competitive with Fossil Fuels",SolFocus,NREL/SR-520-47310,Technology to Market,node/928446,Funding Opportunity,Incubator 1,Incubator 1,Inactive,2007,"$2,241,732 ",Palo Alto,CA,95112,node/791021,33.696788,-116.404122,,"SolFocus developed a 25%-plus efficient pilot-run production module and be on path to achieve a greater than 3 MW annual capacity for a 500x CPV module with a folded reflective design in a compact frame where the design can be manufactured in volume and scalable to GW capacity. SolFocus raised module efficiency from 17% to over 25%, automated module assembly using robotics, and accelerated reliability testing, increasing manufacturability and reducing costs."
A Reliable and Low-Cost Monolayer Backsheet for Crystalline Silicon Solar Modules,Soliculture,EE0007584,Technology to Market,node/928446,Funding Opportunity,"Technology to Market 2: Incubator 11, SolarMat 4",Incubator 11,Active,2016,"$399,981 ",Scotts Valley,CA,95066-4515 ,node/2040018,37.05106,-122.014684,Glenn Alers,"This project develops backsheets for silicon photovoltaic modules that solves fundamental problems with current products on the market. This new technology removes tie layers, which are known to cause reliability problems such as delamination and moisture ingress, and replaces a polyester film that can recrystallize at certain temperatures."
Commercialization of High Efficiency Low Cost CIGS Technology Based on Electroplating,SoloPower,NREL/SR-520-48590,Technology to Market,node/928446,Funding Opportunity,Incubator 1,Incubator 1,Inactive,2007,"$2,167,223 ",San Jose,CA,95138,node/791021,37.242286,-121.730945,,"SoloPower developed an electroplating-based, high-efficiency, low-cost CIGS cell and module manufacturing technology, where the advantages of this deposition technique include lower equipment costs, reduced processing times, and increased material utilization. By the end of the project, SoloPower demonstrated a roll-to-roll reaction fabrication process to create large-area solar modules with a demonstrated 10% aperture-area efficiency on a 1m2 CIGS module and 12% cell efficiencies on 100 cm2 cells (verified by NREL). "
Data-Driven Understanding of Low- to Moderate-Income Customers' Adoption and Financial Qualification in Community Solar,Solstice Initiative,EE0007659,Soft Costs,node/791371,Funding Opportunity,Solar Energy Evolution and Diffusion Studies 2 - State Energy Strategies ,SEEDS2-SES,Active,2016,"$816,090 ",Boston,MA,02109-5002,node/2092315,42.366062,-71.048291,Stephanie Speirs,"This project gathers customer data to assess the assumption that metrics other than a traditional FICO score can and should be used to qualify customers for community solar. Using customer data on income, FICO score, and utility, rent, and cell phone repayment history, the project tests whether new qualifying metrics open up the community solar market to additional households. This new model is then tested by enrolling customers in community solar and comparing actual payment. This project identifies and tests better ways to finance and perform due diligence on solar purchases for nontraditional adopters."
"Aluminum Epilayers for Controlled Growth and Processing of High-Efficiency, Low-Cost III-V Solar Cells",South Dakota School of Mines and Technology,EE0007363,Photovoltaics,node/790884,Funding Opportunity,Photovoltaic Research and Development: Small Innovative Projects in Solar,PVRD SIPS,Inactive,2016,"$179,003 ",Rapid City,SD,57701,node/1876011,44.080543,-103.231015,Phil Ahrenkiel,"This project utilizes a crystalline aluminum sacrificial layer in the epitaxial growth of lattice matched III-V absorber materials for substrate reuse. The aluminum layer will then be quickly and inexpensively removed, resulting in thin film III-V growth from reusable substrates. It is anticipated that this demonstration would dramatically reduce the cost of III-V based solar cells."
Electric Access System Enhancement,Southern California Edison,EE0008004,Systems Integration,node/791071,Funding Opportunity,Enabling Extreme Real-Time Grid Integration of Solar Energy,ENERGISE,Active,2017,"$4,000,000 ",Rosemead,CA,91770-3714,node/2917062,34.061736,-118.083005,Robert Sherick,"This project leverages existing information systems and processes to increase efficient communication exchange between the utility and the customer or resource provider interconnection process by optimizing control of the resource. This complete lifecycle approach defines the necessary data to be exchanged, the grid and device characteristics, and the operating constraints and protocols to enable effective controls and operations. This structured and automated exchange of characteristics and parameters accelerates the interconnection process, establishes common information requirements, and enables effective operational connection of distributed energy resources to the grid."
Demonstration of High-Temperature Calcium-Based Thermochemical Energy Storage System ,Southern Research Institute,EE0007116,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power: Advanced Projects Offering Low LCOE Opportunities,CSP APOLLO,Active,2015,"$2,000,000 ",Birmingham,AL,35211,node/1332676,33.449373,-86.867199,Tim Hansen,"This project is working to demonstrate its novel high-temperature, calcium-based, thermochemical storage system for use with CSP facilities. This system uses a highly refined and tailored reinforced calcium-oxide sorbent undergoing a reversible carbonation reaction in a parallel-plate heat exchanger reactor to produce a highly energy dense storage system with sorbent material derived from a low-cost feedstock."
Regenerative Carbonate-Based Thermochemical Energy Storage System for Concentrating Solar Power,Southern Research Institute,EE0006535,Concentrating Solar Power,node/790241,Funding Opportunity,Efficiently Leveraging Equilibrium Mechanisms for Engineering New Thermochemical Storage,ELEMENTS,Inactive,2014,"$836,696 ",Birmingham,AL,35255-5305,node/924486,33.5,-86.8,Santosh Gangwal,"The goal of this project is to develop thermochemical energy storage (TCES) systems for concentrating solar power (CSP) based on endothermic-exothermic gas-solid reaction cycles at temperatures >650&deg;C. The 24-month project will develop and demonstrate regenerative carbonate and silicate sorbent-based process in a simulated TCES system at bench-scale. The project will advance the proposed TCES system from technology readiness level (TRL) 2 to 4 by demonstrating the system's key advantages, its high exergetic and energetic efficiencies, and its potential to meet a cost target of $15/kWhth."
Development of a High Efficiency Hot Gas Turbo-Expander and Low Cost Heat Exchangers for Optimized Concentrating Solar Power Applications,Southwest Research Institute,EE0005804,Concentrating Solar Power,node/790241,Funding Opportunity,SunShot Concentrating Solar Power R&D,CSP SunShot R&D,Inactive,2012,"$6,785,893 ",San Antonio,TX,78201-0001,node/790686,29.46357,-98.522671,Jeff Moore,This project is developing a supercritical carbon dioxide power cycle that combines high efficiencies and low costs for modular concentrating solar power applications. The technology will be evaluated in a test loop to verify its performance over a wide range of partial-load conditions and during transient operations representative of a typical power cycle.
Development of an Integrally Geared Compressor-Expander for SCO<sub>2</sub> Brayton Cycle Power Generation Applications,Southwest Research Institute,EE0007114,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power: Advanced Projects Offering Low LCOE Opportunities,CSP APOLLO,Active,2015,"$5,350,000 ",San Antonio,TX,78238-5166,node/1332681,29.468701,-98.621565,Jason Wilkes,"The team of Southwest Research Institute and Samsung Techwin will develop an integrally-geared compressor-expander (compander) and a novel centrifugal compressor impeller design for use in 10 MW scale CSP applications utilizing a supercritical CO<sub>2</sub> (sCO<sub>2</sub>) cycle. This integrally-geared compander has the potential to improve efficiency, modularity, and process control over other proposed CSP turbomachinery configurations utilizing a sCO<sub>2</sub> power cycle."
Optimizing the CSP Tower Air Brayton Cycle System to Meet the SunShot Objectives,Southwest Research Institute,EE0005805,Concentrating Solar Power,node/791105,Funding Opportunity,SunShot Concentrating Solar Power R&D,CSP SunShot R&D,Inactive,2012,"$3,064,000 ",San Antonio,TX,78228-0510,node/790681,29.455339,-98.561114,Shane Coogan,"The Southwest Research Institute and its partners, under the 2012 Concentrating Solar Power (CSP) SunShot R&D funding opportunity announcemen, are developing an external combustor capable of operating at much higher temperatures than the current state-of-the-art technology."
Improved Solar Cell Efficiency Through the Use of an Additive Nanostructure-Based Optical Downshifter,SpectraWatt,NREL/SR-5200-51381,Technology to Market,node/928446,Lab Award,NREL ARRA PV Technology Pre-Incubator Awards,Pre-Incubator,Inactive,2009,"$500,000 ",HILLSBORO,OR,97124,node/791021,45.522894,-122.989827,Juanita Kurtin,"SpectraWatt is exploring the use of low-cost films composed of absorbing and emitting nanomaterials to improve the performance of standard multicrystalline silicon solar cells. These films could improve the spectral response of solar cells without interfering with the behavior of the platform device. And because the added layer is not part of the active electrical device architecture, this coating approach is potentially applicable to all PV technologies. To date, a 0.5% absolute efficiency increase for factory-quality copper indium gallium diselenide (CIGS) mini-modules has been reproducibly demonstrated, along with a 1% absolute efficiency increase for prototype CdTe devices. This approach could require less-stringent design tolerances for the underlying cell structure and also increase manufacturing yields. "
Manufacturing of High-Efficiency Bi-Facial Tandem Concentrator Solar Cells,Spire Semiconductor,NREL/SR-5200-51767,Technology to Market,node/928446,Funding Opportunity,Incubator 2,Incubator 2,Inactive,2008,"$2,960,850 ",Hudson,NH,3051,node/791022,42.764776,-71.439807,Steven Wojtczuk,Spire was to develop three-junction tandem solar cells that better optimize the optical properties of their device layers; the company is targeting cell efficiencies over 42% using a low-cost manufacturing method. 
Continuous Silicon Reduction and Consolidation,SRI International,EE0007550,Photovoltaics,node/790881,Funding Opportunity,Photovoltaics Research and Development,PVRD,Active,2016,"$900,000 ",Menlo Park,CA,94025-3453,node/2040186,37.45296,-122.181725,Jordi Perez,"This project investigates a continuous silicon reduction and consolidation process to reduce the capital, material, and energy costs associated with producing high-purity polysilicon. The new method will use low-cost precursors and has the capability to recycle silicon fines, which are a common waste product of fluidized bed reactors and wafer sawing. This technology has the capability of reducing module costs by up to 10 percent based on reducing the cost of the polysilicon feedstock used to grow silicon bricks and ingots."
Helios: Understanding Solar Evolution Through Text Analytics,SRI International,EE0006130,Soft Costs,node/791371,Funding Opportunity,Solar Energy Evolution and Diffusion Studies,SEEDS,Inactive,2013,"$597,810 ",Menlo Park,CA,94025,node/791401,37.448491,-122.180281,Jeffrey Alexander,"SRI International, under the Solar Energy Evolution and Diffusion Studies (SEEDS) program, is developing a new system for large-scale text analytics, called Helios, to isolate and map recurring patterns of technology evolution through the inspection of thousands of published technical documents. SRI, advised by the University of Toledo and GE Central Research, is identifying key breakthroughs in alternative PV technologies, and use Helios to identify common factors or conditions which inform the design of interventions to accelerate future innovation in photovoltaics."
Machine Learning for Solar Technology Portfolio Management,SRI International,EE0007661,Soft Costs,node/791371,Funding Opportunity,Solar Energy Evolution and Diffusion Studies 2 - State Energy Strategies ,SEEDS2-SES,Active,2016,"$699,940 ",Arlington,VA,22209-2268,node/2092323,38.892209,-77.070837,Christina Freyman,"This project creates a data-driven tool that describes the development of different solar technologies through the use of machine learning and text analytics. The tool identifies the types of variables, and the influencers that impact them, that enable a solar energy technology to transition across readiness levels using unique solar energy data sources. In doing so, the model helps explain prior technology transitions, as well as predict the likelihood of a technology's advancement to future readiness levels."
Coupled Thermo-Mechanical and Photo-Chemical Degradation Mechanisms that Determine the Reliability and Operational Lifetimes for CPV Technologies,Stanford University,EE0006343,Photovoltaics,node/790881,Funding Opportunity,Physics of Reliability: Evaluating Design Insights for Component Technologies in Solar,PREDICTS,Inactive,2013,"$1,165,500 ",Stanford,CA,94301-1000,node/791046,37.445797,-122.157575,Reinhold Dauskardt,"The goal of this project is to provide critical understanding of the role of bulk and interface defects in limiting the performance of buffer layer materials necessary for the fabrication of stable, high efficiency thin-film PV devices. LLNL is working in collaboration with the University of Illinois at Urbana-Champaign and industry partners. This project is innovative in its application of first-principles atomic scale modeling to the design of buffer layer materials for thin-film PV, as well as in coordinating complimentary state-of-the-art computational and experimental efforts to accelerate progress, expanding the breadth of expertise and resources being applied to PV system design."
Distribution Decision Support Platform For Automated And Standardized Distributed Generation Interco,Stanford University,EE0005951,Photovoltaics,node/790881,Funding Opportunity,Bridging Research Interactions through Collaborative Development Grants in Energy,BRIDGE,Active,2012,"$899,000 ",Stanford,CA,94305-1000,node/790956,37.413576,-122.168928,Michael Toney,"The goal of this project is to investigate coupled intrinsic thermo-mechanical and photo-chemical degradation mechanisms that determine the reliability and operational lifetimes for concentrated photovoltaic (CPV) technologies. Stanford, is working in collaboration with NREL and Spectrolab on this project. The research approach will result in quantitative metrologies to characterize degradation processes during PV operation, detailed kinetic models of degradation mechanisms, and reliability benchmarking of materials and interfaces in CPV devices and modules. The approach is based on fundamental materials science and reliability physics and development of accelerated testing protocols for more accurate lifetime predictions."
In-Situ Roll-To-Roll Printing of Highly Efficient Organic Solar Cells,Stanford University,EE0005960,Photovoltaics,node/790881,Funding Opportunity,Bridging Research Interactions through Collaborative Development Grants in Energy,BRIDGE,Inactive,2012,"$878,578 ",Menlo Park,CA,94025-1000,node/790956,37.448491,-122.180281,Zhenan Bao,The goal of this project is to develop a roll-to-roll printing setup for organic solar cells that will capture important aspects of existing industrial printing methods and will allow the printing process to be studied in-situ with both small and wide angle X-ray scattering. This novel ability will enable a more rapid rate of improvement in solar cell performance by allowing the team to directly tune the printing conditions and the ink formulations based on the feedback from the scattering experiments.
Low-Cost Scaffold-Reinforced Perovskite Solar Modules with Integrated Light Management,Stanford University,EE0008154,Photovoltaics,node/2619924,Funding Opportunity,"Photovoltaic Research and Development 2 

",PVRD2,Active,2017,"$225,000 ",Stanford,CA,94305-4034,node/2619924,37.413576,-122.168928,Reinhold Dauskardt,"Novel hybrid perovskites hold great promise for early-stage, next-generation solar cells. However, the mechanical fragility, chemical instability, and moisture sensitivity of the current organometal trihalide perovskites will need to be addressed to ensure a competitive advantage. This project focuses on researching a revolutionary new compound solar cell module design based on a recent breakthrough in Stanford's lab&mdash;using an innovative patterned hexagonal reinforcing scaffold filled with perovskite&mdash;that mitigates the chemical, thermal, and mechanical degradation of planar perovskite solar cells."
Perovskite on Silicon Tandem Solar Cells,Stanford University,EE0008167,Photovoltaics,node/2619924,Funding Opportunity,"Photovoltaic Research and Development 2 

",PVRD2,Active,2017,"$1,365,306 ",Stanford,CA,94305-8700,node/2619924,37.413576,-122.168928,Michael McGehee,"This project is studying newly developed perovskite on silicon tandem modules to determine the best interconnection design and material properties for each module component. The perovskite material will be characterized and modified to produce a top cell with an ideal band gap and few structural and electronic defects. Modeling will be used to predict outdoor panel performance under realistic spectral variations, which affects how well the electrical current is balanced between the two types of cells."
Perovskite Solar Cells for High-Efficiency Tandems,Stanford University,EE0006707,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 3,NextGen 3,Inactive,2014,"$1,484,623 ",Stanford,CA,94305-1000,node/973816,37.413576,-122.168928,Michael McGehee,"The goal of this project is to develop materials, device structures, processes, and metrology necessary to design and implement cost effective photovoltaic (PV) modules in large volume production. This will be achieved by support of industry-relevant research at the Leland Stanford Junior University (Stanford), University of California, Berkeley (U. C. Berkeley), Lawrence Berkeley National Laboratory, the National Renewable Energy Laboratory, the SLAC National Accelerator Laboratory, and other universities throughout the nation. Six initial technology thrusts target area manufacturing cost and device performance characteristics compatible with production at $0.50/W as needed for system level grid parity."
PVMI Bay Area Photovoltaic Consortium,Stanford University,EE0004946,Photovoltaics,node/790881,Funding Opportunity,Photovoltaic Manufacturing Initative,PVMI,Inactive,2011,"$750,000 ",Stanford,CA,94301-1000,node/791041,37.413576,-122.168928,Yi Cui,"The goal of this project is to develop materials, device structures, processes, and metrology necessary to design and implement cost effective photovoltaic (PV) modules in large volume production. This will be achieved by support of industry-relevant research at the Leland Stanford Junior University (Stanford), University of California, Berkeley (U. C. Berkeley), Lawrence Berkeley National Laboratory, the National Renewable Energy Laboratory, the SLAC National Accelerator Laboratory, and other universities throughout the nation. Six initial technology thrusts target area manufacturing cost and device performance characteristics compatible with production at $0.50/W as needed for system level grid parity."
Solar upconversion with metal-enhanced bimolecular complexes,Stanford University,EE0005331,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,2011,"$1,380,470 ",Stanford,CA,94305-1000,node/790976,37.424106,-122.166076,Jennifer  Dionne,"This project is inactive. This effort aims to develop an efficient upconverting medium capable of converting low-energy transmitted photons to higher-energy photons, which can then be absorbed by any type of commercial solar cell. The research team is using electrodynamic simulations and ab-initio quantum computations to optimize existing upconversion processes and design new molecular complexes for high-efficiency photovoltaic upconversion. This technology promises broadband upconversion at low incident power in a solution-processable, scalable platform."
Nevada Rooftop Solar Initiative (NRSI),State of Nevada,EE0005697,Soft Costs,node/791371,Funding Opportunity,Rooftop Solar Challenge,Rooftop Solar Challenge,Inactive,2012,"$765,000 ",Carson City,NV,89701-3115,node/791726,39.186023,-119.749399,Robert Nellis,"The Nevada State Office of Energy will standardize jurisdictional permitting procedures and push for a state-wide model. The project also aims to streamline the interconnection process and reduce solar installation burdens, including a requirement for AC disconnect switches, by working with utilities and jurisdictions."
Energy Storage Control Algorithms To Reduce The System Cost of Distributed Solar,Stem,EE0006695,Technology to Market,node/928446,Funding Opportunity,Incubator 9,Incubator 9,Inactive,2014,"$936,554 ",Millbrae,CA,94030,node/791016,37.595895,-122.418411,Joe Matamoros,The goal of this project is to develop a software platform for energy storage evaluation and automated storage system control. The project will improve the application of distributed storage in areas with high photovoltaic penetration while lowering grid integration costs and improving grid stability.
Developing a Thin-Film CIGS Module that Improves Light Harvesting ,Stion,,Technology to Market,node/928446,Funding Opportunity,Incubator 4,Incubator 4,Inactive,2010,"$1,000,000 ",San Jose,CA,95119,node/791021,37.231816,-121.782228,,"Stion developed a disruptive technology based on a tandem copper indium gallium diselenide (CIGS) module that uses a revolutionary thin-film design to enable broader and more effective harvesting of available light. The tandem module, which utilizes mechanically stacked top and bottom modules to avoid the design and manufacturing challenges associated with multijunction monolithic integration, enables 18% efficiency on full-size CIGS modules."
Scale-Up And Optimization Of Cigs Tandem Module For Production Readiness,Stion,EE0005977,Technology to Market,node/928446,Funding Opportunity,Incubator 7,Incubator 7,Inactive,2012,"$2,000,000 ",San Jose,CA,95119-1202,node/791021,37.231816,-121.782228,Howard Lee,"Stion has developed a disruptive technology based on a tandem CIGS module which uses a revolutionary thin-film design enables broader and more effective harvesting of available light. The tandem module, which utilizes a mechanically stacked top and bottom modules to avoid the design and manufacturing challenges associated with multi-junction monolithic integration, enables 18% efficiency on full size CIGS modules."
Advanced Monolithic Interconnects,Stion Corporation,EE0008159,Photovoltaics,node/2619924,Funding Opportunity,"Photovoltaic Research and Development 2 

",PVRD2,Inactive,2017,"$956,630 ",San Jose,CA,95119-1939,node/2619924,37.231816,-121.782228,Eric Lee,"This project is investigating a new cell interconnection technology that could improve module efficiency, resulting in a lower levelized cost of solar electricity. This new interconnect is formed in a single step after all other layers are in place, and has the potential to improve efficiency and yield while reducing complexity and cost. The key areas of investigation involve characterizing and understanding the interactions between incident light and the optical properties of the various device layers in order to ensure successful ablation of the target device layers while avoiding modifying the optoelectronic properties of neighboring layers."
